Rk,Team,FG,,FG,FGA,,FGA,FG%,,FG%,3P,,3P,3PA,,3PA,3P%,,3P%,2P,,2P,2PA,,2PA,2P%,,2P%,FT,,FT,FTA,,FTA,FT%,,FT%,ORB,,ORB,DRB,,DRB,TRB,,TRB,AST,,AST,STL,,STL,BLK,,BLK,TOV,,TOV,PF,,PF,PTS/G,,PTS/G,Colley Rank Score,,Colley Rank Score,Colley Rank
11,PHO,3178,0.805283175,0.805283175,7038,0.980997705,0.980997705,0.452,0.200330567,0.200330567,698,0.417264198,0.417264198,2048,0.626168128,0.626168128,0.341,-0.457119212,-0.457119212,2480,0.341541203,0.341541203,4990,-0.075144686,-0.075144686,0.497,0.620892262,0.620892262,1343,-0.463709217,-0.463709217,1767,-0.599051692,-0.599051692,0.76,0.357143399,0.357143399,896,0.041837628,0.041837628,2643,-0.124200386,-0.124200386,3539,-0.078329778,-0.078329778,1659,-1.004728558,-1.004728558,700,0.8196786,0.8196786,385,-0.146977555,-0.146977555,1238,0.589818733,0.589818733,1744,0.756562501,0.756562501,102.4,0.576436043,0.576436043,0.49,-0.065613019,-0.065613019,15
12,DEN,3099,0.180199658,0.180199658,7158,1.614999001,1.614999001,0.433,-1.06842969,-1.06842969,660,0.127271735,0.127271735,2032,0.578482055,0.578482055,0.325,-1.356845915,-1.356845915,2439,0.044213211,0.044213211,5126,0.343362576,0.343362576,0.476,-0.537276398,-0.537276398,1462,0.421248518,0.421248518,1991,0.663794376,0.663794376,0.734,-0.635468944,-0.635468944,1012,1.516819105,1.516819105,2653,-0.03806589,-0.03806589,3665,0.808499531,0.808499531,1788,-0.127455741,-0.127455741,641,0.082974836,0.082974836,367,-0.468599027,-0.468599027,1166,-0.107097843,-0.107097843,1882,1.965141432,1.965141432,101.5,0.358809986,0.358809986,0.382,-0.776603586,-0.776603586,24
13,BOS,3193,0.923969919,0.923969919,7211,1.895016241,1.895016241,0.443,-0.400661134,-0.400661134,660,0.127271735,0.127271735,2021,0.54569788,0.54569788,0.327,-1.244380078,-1.244380078,2533,0.725892023,0.725892023,5190,0.540307171,0.540307171,0.488,0.124534265,0.124534265,1266,-1.036328927,-1.036328927,1678,-1.100807496,-1.100807496,0.754,0.128079012,0.128079012,910,0.219852634,0.219852634,2685,0.237564496,0.237564496,3595,0.315816582,0.315816582,2009,1.375469008,1.375469008,674,0.495029484,0.495029484,294,-1.772952775,-1.772952775,1133,-0.426517941,-0.426517941,1738,0.704015591,0.704015591,101.4,0.334629313,0.334629313,0.473,-0.177528201,-0.177528201,18
14,SAC,3010,-0.524008355,-0.524008355,6617,-1.243290177,-1.243290177,0.455,0.400661134,0.400661134,461,-1.391373006,-1.391373006,1350,-1.454136793,-1.454136793,0.341,-0.457119212,-0.457119212,2549,0.841922459,0.841922459,5267,0.777256136,0.777256136,0.484,-0.09606929,-0.09606929,1829,3.150487917,3.150487917,2400,2.969615993,2.969615993,0.762,0.433498194,0.433498194,895,0.029122271,0.029122271,2728,0.607942827,0.607942827,3623,0.512889762,0.512889762,1667,-0.950324042,-0.950324042,550,-1.053297071,-1.053297071,324,-1.236916988,-1.236916988,1333,1.509361439,1.509361439,1696,0.33618722,0.33618722,101.3,0.31044864,0.31044864,0.376,-0.816103062,-0.816103062,25
15,CHI,3001,-0.595220401,-0.595220401,6797,-0.292288232,-0.292288232,0.442,-0.467437989,-0.467437989,645,0.012801026,0.012801026,1825,-0.03845651,-0.03845651,0.353,0.217675815,0.217675815,2356,-0.557694677,-0.557694677,4972,-0.130535354,-0.130535354,0.474,-0.647578175,-0.647578175,1618,1.581361178,1.581361178,2067,1.092260007,1.092260007,0.783,1.235223548,1.235223548,959,0.842905154,0.842905154,2792,1.159203598,1.159203598,3751,1.413795726,1.413795726,1781,-0.175059692,-0.175059692,514,-1.502811232,-1.502811232,476,1.478997666,1.478997666,1145,-0.310365178,-0.310365178,1495,-1.424134267,-1.424134267,100.8,0.189545275,0.189545275,0.593,0.612461319,0.612461319,10
16,NOP,3108,0.251411704,0.251411704,6795,-0.30285492,-0.30285492,0.457,0.534214845,0.534214845,586,-0.43745043,-0.43745043,1583,-0.759708359,-0.759708359,0.37,1.173635438,1.173635438,2522,0.646121098,0.646121098,5212,0.608006875,0.608006875,0.484,-0.09606929,-0.09606929,1345,-0.448835978,-0.448835978,1790,-0.469384462,-0.469384462,0.751,0.013546819,0.013546819,942,0.626744076,0.626744076,2621,-0.313696276,-0.313696276,3563,0.090590091,0.090590091,1806,-0.00504558,-0.00504558,553,-1.015837557,-1.015837557,510,2.086504891,2.086504891,1087,-0.871770198,-0.871770198,1530,-1.117610625,-1.117610625,99.4,-0.148984146,-0.148984146,0.556,0.368881217,0.368881217,12
17,LAL,3054,-0.175860573,-0.175860573,7020,0.88589751,0.88589751,0.435,-0.934875979,-0.934875979,532,-0.849544983,-0.849544983,1546,-0.869982402,-0.869982402,0.344,-0.288420455,-0.288420455,2522,0.646121098,0.646121098,5474,1.414248808,1.414248808,0.461,-1.364539727,-1.364539727,1433,0.205586549,0.205586549,1935,0.348082859,0.348082859,0.741,-0.368227159,-0.368227159,952,0.753897651,0.753897651,2647,-0.089746587,-0.089746587,3599,0.343969893,0.343969893,1715,-0.623896947,-0.623896947,578,-0.703674946,-0.703674946,366,-0.486466886,-0.486466886,1086,-0.881449595,-0.881449595,1741,0.730289046,0.730289046,98.5,-0.366610203,-0.366610203,0.282,-1.434928186,-1.434928186,27
18,WAS,3139,0.496697641,0.496697641,6790,-0.329271641,-0.329271641,0.462,0.868099123,0.868099123,497,-1.116643304,-1.116643304,1381,-1.361745027,-1.361745027,0.36,0.611306248,0.611306248,2642,1.516349369,1.516349369,5409,1.214226954,1.214226954,0.488,0.124534265,0.124534265,1305,-0.746300762,-0.746300762,1758,-0.649791043,-0.649791043,0.742,-0.330049762,-0.330049762,862,-0.390484529,-0.390484529,2801,1.236724644,1.236724644,3663,0.794422875,0.794422875,1969,1.103446429,1.103446429,601,-0.416485343,-0.416485343,378,-0.272052571,-0.272052571,1233,0.541421749,0.541421749,1707,0.432523222,0.432523222,98.5,-0.366610203,-0.366610203,0.544,0.289882265,0.289882265,14
19,DET,3041,-0.278722418,-0.278722418,7038,0.980997705,0.980997705,0.432,-1.135206546,-1.135206546,703,0.455421101,0.455421101,2043,0.61126623,0.61126623,0.344,-0.288420455,-0.288420455,2338,-0.688228918,-0.688228918,4995,-0.05975839,-0.05975839,0.468,-0.978483507,-0.978483507,1292,-0.842976817,-0.842976817,1838,-0.19877459,-0.19877459,0.703,-1.818968276,-1.818968276,1051,2.012718049,2.012718049,2630,-0.23617523,-0.23617523,3681,0.921112777,0.921112777,1771,-0.243065337,-0.243065337,623,-0.141782244,-0.141782244,383,-0.182713274,-0.182713274,1099,-0.755617435,-0.755617435,1559,-0.863633893,-0.863633893,98.5,-0.366610203,-0.366610203,0.385,-0.756853848,-0.756853848,23
20,MEM,3097,0.164374759,0.164374759,6763,-0.471921933,-0.471921933,0.458,0.600991701,0.600991701,423,-1.681365469,-1.681365469,1246,-1.764096265,-1.764096265,0.339,-0.56958505,-0.56958505,2674,1.748410242,1.748410242,5517,1.546570957,1.546570957,0.485,-0.040918401,-0.040918401,1445,0.294825984,0.294825984,1869,-0.024005714,-0.024005714,0.773,0.85344957,0.85344957,856,-0.466776674,-0.466776674,2634,-0.201721432,-0.201721432,3490,-0.423207842,-0.423207842,1777,-0.20226195,-0.20226195,700,0.8196786,0.8196786,347,-0.825956218,-0.825956218,1094,-0.80401442,-0.80401442,1567,-0.793571346,-0.793571346,98.3,-0.414971549,-0.414971549,0.674,1.145704245,1.145704245,5
21,BKN,3069,-0.057173829,-0.057173829,6804,-0.255304823,-0.255304823,0.451,0.133553711,0.133553711,541,-0.780862557,-0.780862557,1633,-0.610689382,-0.610689382,0.331,-1.019448402,-1.019448402,2528,0.689632512,0.689632512,5171,0.481839244,0.481839244,0.489,0.179685153,0.179685153,1359,-0.344723303,-0.344723303,1817,-0.317166409,-0.317166409,0.748,-0.100985375,-0.100985375,846,-0.59393025,-0.59393025,2627,-0.262015578,-0.262015578,3473,-0.542859416,-0.542859416,1716,-0.617096383,-0.617096383,576,-0.728647955,-0.728647955,340,-0.951031235,-0.951031235,1133,-0.426517941,-0.426517941,1579,-0.688477526,-0.688477526,98,-0.487513568,-0.487513568,0.457,-0.282860136,-0.282860136,19
22,MIL,3083,0.053600465,0.053600465,6722,-0.688539042,-0.688539042,0.459,0.667768556,0.667768556,545,-0.750337035,-0.750337035,1500,-1.007079861,-1.007079861,0.363,0.780005005,0.780005005,2538,0.762151534,0.762151534,5222,0.638779468,0.638779468,0.486,0.014232487,0.014232487,1312,-0.694244425,-0.694244425,1734,-0.785095979,-0.785095979,0.757,0.242611205,0.242611205,876,-0.212469523,-0.212469523,2574,-0.718528405,-0.718528405,3450,-0.704740956,-0.704740956,1932,0.851825543,0.851825543,789,1.930977498,1.930977498,403,0.174643918,0.174643918,1373,1.896537315,1.896537315,1814,1.369609785,1.369609785,97.8,-0.535874914,-0.535874914,0.486,-0.091946003,-0.091946003,16
23,MIN,2986,-0.713907144,-0.713907144,6820,-0.170771317,-0.170771317,0.438,-0.734545412,-0.734545412,406,-1.811098939,-1.811098939,1223,-1.832644994,-1.832644994,0.332,-0.963215483,-0.963215483,2580,1.066731429,1.066731429,5597,1.7927517,1.7927517,0.461,-1.364539727,-1.364539727,1638,1.73009357,1.73009357,2110,1.33468135,1.33468135,0.776,0.967981764,0.967981764,949,0.715751579,0.715751579,2406,-2.16558793,-2.16558793,3355,-1.373382102,-1.373382102,1771,-0.243065337,-0.243065337,668,0.420110457,0.420110457,327,-1.183313409,-1.183313409,1231,0.522062955,0.522062955,1571,-0.758540073,-0.758540073,97.8,-0.535874914,-0.535874914,0.226,-1.803589962,-1.803589962,28
24,IND,2998,-0.61895775,-0.61895775,6824,-0.14963794,-0.14963794,0.439,-0.667768556,-0.667768556,612,-0.239034534,-0.239034534,1740,-0.291788771,-0.291788771,0.352,0.161442896,0.161442896,2386,-0.340137609,-0.340137609,5084,0.214117686,0.214117686,0.469,-0.923332618,-0.923332618,1373,-0.240610628,-0.240610628,1817,-0.317166409,-0.317166409,0.756,0.204433808,0.204433808,856,-0.466776674,-0.466776674,2822,1.417607085,1.417607085,3678,0.899997793,0.899997793,1757,-0.338273239,-0.338273239,505,-1.615189772,-1.615189772,375,-0.32565615,-0.32565615,1147,-0.291006384,-0.291006384,1742,0.739046864,0.739046864,97.3,-0.656778279,-0.656778279,0.451,-0.322359612,-0.322359612,20
25,ORL,3076,-0.001786682,-0.001786682,6792,-0.318704953,-0.318704953,0.453,0.267107422,0.267107422,554,-0.681654609,-0.681654609,1598,-0.715002666,-0.715002666,0.347,-0.119721698,-0.119721698,2522,0.646121098,0.646121098,5194,0.552616208,0.552616208,0.486,0.014232487,0.014232487,1141,-1.965906379,-1.965906379,1565,-1.737868236,-1.737868236,0.729,-0.826355933,-0.826355933,822,-0.899098831,-0.899098831,2607,-0.434284569,-0.434284569,3429,-0.852545841,-0.852545841,1692,-0.78030993,-0.78030993,647,0.157893863,0.157893863,314,-1.415595584,-1.415595584,1221,0.425268986,0.425268986,1714,0.493827951,0.493827951,95.7,-1.043669047,-1.043669047,0.307,-1.270347036,-1.270347036,26
26,UTA,2900,-1.394377808,-1.394377808,6492,-1.903708194,-1.903708194,0.447,-0.133553711,-0.133553711,610,-0.254297296,-0.254297296,1781,-0.16959321,-0.16959321,0.343,-0.344653374,-0.344653374,2290,-1.036320226,-1.036320226,4711,-0.933700027,-0.933700027,0.486,0.014232487,0.014232487,1391,-0.106751475,-0.106751475,1929,0.314256625,0.314256625,0.721,-1.131775116,-1.131775116,988,1.211650523,1.211650523,2617,-0.348150074,-0.348150074,3605,0.38619986,0.38619986,1632,-1.188343798,-1.188343798,623,-0.141782244,-0.141782244,489,1.711279841,1.711279841,1256,0.764047878,0.764047878,1583,-0.653446253,-0.653446253,95.1,-1.188753085,-1.188753085,0.48,-0.131445479,-0.131445479,17
27,MIA,2885,-1.513064552,-1.513064552,6330,-2.759609944,-2.759609944,0.456,0.467437989,0.467437989,556,-0.666391848,-0.666391848,1659,-0.533199514,-0.533199514,0.335,-0.794516726,-0.794516726,2329,-0.753496038,-0.753496038,4671,-1.056790399,-1.056790399,0.499,0.731194039,0.731194039,1438,0.242769647,0.242769647,1940,0.376271388,0.376271388,0.741,-0.368227159,-0.368227159,747,-1.852750648,-1.852750648,2461,-1.691848204,-1.691848204,3208,-2.408016295,-2.408016295,1626,-1.229147185,-1.229147185,642,0.095461341,0.095461341,372,-0.379259729,-0.379259729,1214,0.357513208,0.357513208,1636,-0.18928188,-0.18928188,94.7,-1.285475777,-1.285475777,0.443,-0.37502558,-0.37502558,21
28,CHA,2913,-1.291515964,-1.291515964,6932,0.420963226,0.420963226,0.42,-1.936528813,-1.936528813,498,-1.109011923,-1.109011923,1566,-0.810374812,-0.810374812,0.318,-1.750476348,-1.750476348,2415,-0.129832444,-0.129832444,5366,1.081904805,1.081904805,0.45,-1.971199501,-1.971199501,1397,-0.062131757,-0.062131757,1867,-0.035281126,-0.035281126,0.748,-0.100985375,-0.100985375,820,-0.924529546,-0.924529546,2793,1.167817048,1.167817048,3613,0.442506483,0.442506483,1654,-1.03873138,-1.03873138,499,-1.690108799,-1.690108799,448,0.978697598,0.978697598,976,-1.946183253,-1.946183253,1494,-1.432892085,-1.432892085,94.2,-1.406379142,-1.406379142,0.397,-0.677854896,-0.677854896,22
29,PHI,2765,-2.462558502,-2.462558502,6777,-0.397955115,-0.397955115,0.408,-2.73785108,-2.73785108,692,0.371475914,0.371475914,2160,0.959970636,0.959970636,0.32,-1.63801051,-1.63801051,2073,-2.609983016,-2.609983016,4617,-1.2229624,-1.2229624,0.449,-2.02635039,-2.02635039,1320,-0.634751468,-0.634751468,1953,0.449561561,0.449561561,0.676,-2.849758017,-2.849758017,978,1.084496948,1.084496948,2536,-1.045839488,-1.045839488,3514,-0.254287974,-0.254287974,1683,-0.84151501,-0.84151501,789,1.930977498,1.930977498,487,1.675544121,1.675544121,1453,2.670889066,2.670889066,1778,1.054328325,1.054328325,92,-1.938353947,-1.938353947,0.226,-1.803589962,-1.803589962,28
30,NYK,2882,-1.536801901,-1.536801901,6726,-0.667405666,-0.667405666,0.428,-1.402313968,-1.402313968,560,-0.635866326,-0.635866326,1614,-0.667316594,-0.667316594,0.347,-0.119721698,-0.119721698,2322,-0.804259354,-0.804259354,5112,0.300280946,0.300280946,0.454,-1.750595947,-1.750595947,1211,-1.445343006,-1.445343006,1575,-1.681491179,-1.681491179,0.769,0.700739979,0.700739979,867,-0.326907741,-0.326907741,2443,-1.846890296,-1.846890296,3310,-1.690106855,-1.690106855,1746,-0.413079448,-0.413079448,575,-0.741134459,-0.741134459,382,-0.200581133,-0.200581133,1206,0.280078033,0.280078033,1768,0.966750141,0.966750141,91.9,-1.96253462,-1.96253462,0.209,-1.915505144,-1.915505144,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3076.233333,128.4722235,,6852.333333,192.4027604,,0.449,0.01522279,,643.3333333,133.2039372,,1837.9,341.0740242,,0.3491,0.018076412,,2432.9,140.1742606,,5014.433333,330.3361604,,0.485766667,0.018431284,,1405.366667,136.6924732,,1873.266667,180.3091666,,0.750666667,0.026626219,,892.7,79.94504362,,2657.433333,118.016576,,3550.133333,144.4277751,,1806.733333,149.4772967,,634.3666667,81.41027099,,393.2333333,56.89152446,,1177.066667,105.0199769,,1657.6,116.0711276,,100.0166667,4.203893698,,0.499966667,0.154411676,,
,,3076.225806,126.3831118,,6852.322581,189.2740609,,0.449,0.014975248,,643.3225806,131.0378884,,1837.903226,335.527736,,0.349129032,0.017783178,,2432.903226,137.8948535,,5014.419355,324.9644918,,0.485741935,0.018132074,,1405.354839,134.4696988,,1873.258065,177.3771211,,0.750645161,0.026193509,,892.7096774,78.64505544,,2657.419355,116.0975047,,3550.129032,142.0792014,,1806.741935,147.0466171,,634.3548387,80.08646472,,393.2258065,55.96641255,,1177.064516,103.3122219,,1657.612903,114.1836883,,100.016129,4.135534195,,0.499966667,0.151900749,,
,,3076.225806,126.3831118,,6852.322581,189.2740609,,0.449,0.014975248,,643.3225806,131.0378884,,1837.903226,335.527736,,0.349129032,0.017783178,,2432.903226,137.8948535,,5014.419355,324.9644918,,0.485741935,0.018132074,,1405.354839,134.4696988,,1873.258065,177.3771211,,0.750645161,0.026193509,,892.7096774,78.64505544,,2657.419355,116.0975047,,3550.129032,142.0792014,,1806.741935,147.0466171,,634.3548387,80.08646472,,393.2258065,55.96641255,,1177.064516,103.3122219,,1657.612903,114.1836883,,100.016129,4.135534195,,0.499966667,0.151900749,,
,,3076.225806,126.3831118,,6852.322581,189.2740609,,0.449,0.014975248,,643.3225806,131.0378884,,1837.903226,335.527736,,0.349129032,0.017783178,,2432.903226,137.8948535,,5014.419355,324.9644918,,0.485741935,0.018132074,,1405.354839,134.4696988,,1873.258065,177.3771211,,0.750645161,0.026193509,,892.7096774,78.64505544,,2657.419355,116.0975047,,3550.129032,142.0792014,,1806.741935,147.0466171,,634.3548387,80.08646472,,393.2258065,55.96641255,,1177.064516,103.3122219,,1657.612903,114.1836883,,100.016129,4.135534195,,0.499966667,0.151900749,,
,,3076.225806,126.3831118,,6852.322581,189.2740609,,0.449,0.014975248,,643.3225806,131.0378884,,1837.903226,335.527736,,0.349129032,0.017783178,,2432.903226,137.8948535,,5014.419355,324.9644918,,0.485741935,0.018132074,,1405.354839,134.4696988,,1873.258065,177.3771211,,0.750645161,0.026193509,,892.7096774,78.64505544,,2657.419355,116.0975047,,3550.129032,142.0792014,,1806.741935,147.0466171,,634.3548387,80.08646472,,393.2258065,55.96641255,,1177.064516,103.3122219,,1657.612903,114.1836883,,100.016129,4.135534195,,0.499966667,0.151900749,,
,,3076.225806,126.3831118,,6852.322581,189.2740609,,0.449,0.014975248,,643.3225806,131.0378884,,1837.903226,335.527736,,0.349129032,0.017783178,,2432.903226,137.8948535,,5014.419355,324.9644918,,0.485741935,0.018132074,,1405.354839,134.4696988,,1873.258065,177.3771211,,0.750645161,0.026193509,,892.7096774,78.64505544,,2657.419355,116.0975047,,3550.129032,142.0792014,,1806.741935,147.0466171,,634.3548387,80.08646472,,393.2258065,55.96641255,,1177.064516,103.3122219,,1657.612903,114.1836883,,100.016129,4.135534195,,0.499966667,0.151900749,,
,,3076.225806,126.3831118,,6852.322581,189.2740609,,0.449,0.014975248,,643.3225806,131.0378884,,1837.903226,335.527736,,0.349129032,0.017783178,,2432.903226,137.8948535,,5014.419355,324.9644918,,0.485741935,0.018132074,,1405.354839,134.4696988,,1873.258065,177.3771211,,0.750645161,0.026193509,,892.7096774,78.64505544,,2657.419355,116.0975047,,3550.129032,142.0792014,,1806.741935,147.0466171,,634.3548387,80.08646472,,393.2258065,55.96641255,,1177.064516,103.3122219,,1657.612903,114.1836883,,100.016129,4.135534195,,0.499966667,0.151900749,,
,,3076.225806,126.3831118,,6852.322581,189.2740609,,0.449,0.014975248,,643.3225806,131.0378884,,1837.903226,335.527736,,0.349129032,0.017783178,,2432.903226,137.8948535,,5014.419355,324.9644918,,0.485741935,0.018132074,,1405.354839,134.4696988,,1873.258065,177.3771211,,0.750645161,0.026193509,,892.7096774,78.64505544,,2657.419355,116.0975047,,3550.129032,142.0792014,,1806.741935,147.0466171,,634.3548387,80.08646472,,393.2258065,55.96641255,,1177.064516,103.3122219,,1657.612903,114.1836883,,100.016129,4.135534195,,0.499966667,0.151900749,,
,,3076.225806,126.3831118,,6852.322581,189.2740609,,0.449,0.014975248,,643.3225806,131.0378884,,1837.903226,335.527736,,0.349129032,0.017783178,,2432.903226,137.8948535,,5014.419355,324.9644918,,0.485741935,0.018132074,,1405.354839,134.4696988,,1873.258065,177.3771211,,0.750645161,0.026193509,,892.7096774,78.64505544,,2657.419355,116.0975047,,3550.129032,142.0792014,,1806.741935,147.0466171,,634.3548387,80.08646472,,393.2258065,55.96641255,,1177.064516,103.3122219,,1657.612903,114.1836883,,100.016129,4.135534195,,0.499966667,0.151900749,,
