Tm,Player,Pos,G,GS,MP,FG,FGA,FGPercent,3P,3PA,2P,2PA,2PPercent,eFGPercent,FT,FTA,FTPercent,ORB,DRB,TRB,AST,STL,BLK,PTS,TOV,PF
BRK,AlanAnderson,SG,1.099469574,-0.080973816,0.442389985,-0.168093889,-0.189830919,0.164343167,0.561311395,0.532133992,-0.399952938,-0.495991277,0.660232432,0.527627302,-0.171575836,-0.241829451,0.568624606,-0.570711848,-0.120570198,-0.235767236,-0.401895661,0.388668971,-0.60243389,-0.074666922,-0.431016887,0.425587104
SAS,KyleAnderson,SF,-0.50817491,-0.505153403,-0.959689456,-1.036173714,-0.949300421,-0.758967441,-0.810705069,-0.898168357,-0.858753577,-0.696473116,-0.91954864,-1.027173226,-0.824290925,-0.89642809,-0.253024096,-0.821747938,-0.301009736,-0.492931945,-0.570691838,-0.310290974,-0.367592895,-1.051337952,-1.075167468,-1.208968675
NOP,RyanAnderson,PF,0.58972864,-0.620838745,0.869586065,0.955303533,1.257907819,-0.26329543,2.085774133,2.305708906,0.28824802,0.363216603,-0.014177031,0.112370018,0.644318024,0.478229051,0.772821325,1.186540781,0.360601903,0.621448461,-0.514426446,-0.310290974,-0.132751899,1.108607596,-0.173356654,0.289374122
MIL,GiannisAntetokounmpo,SG,1.373945462,1.924238777,1.296782144,0.904240013,0.688305693,0.630858001,-0.810705069,-0.783744169,1.320549458,1.222424483,0.484701202,0.237912918,1.54180127,1.656506601,0.223434915,0.433432512,1.804118205,1.435803373,0.442085227,0.62165562,1.51113507,0.920786244,1.243774625,1.923929901
NYK,CarmeloAnthony,SF,-0.233699022,0.728823577,1.767793206,3.099971337,3.204048418,0.174062226,1.323542764,1.50473959,2.926351695,3.11268182,0.142877227,0.102712872,2.765642061,2.703864423,0.495697207,1.186540781,1.383092617,1.392942589,0.723412189,0.854642269,0.102089096,3.080731792,1.372604742,0.698013067
DET,JoelAnthony,C,0.119198548,-0.813647648,-1.233533097,-1.138300752,-1.281568328,1.505573315,-0.963151343,-1.069804639,-0.916103657,-1.011516005,1.131395208,1.05877034,-0.824290925,-0.89642809,-0.063412857,-0.194157713,-0.782181837,-0.6215143,-0.964549585,-1.00925092,1.51113507,-1.126466493,-1.203997585,-0.800329731
ATL,PeroAntic,PF,0.668150323,-0.697962306,-0.335325955,-0.627665561,-0.474631982,-0.593743438,0.256418848,0.474921898,-0.801403497,-0.811034166,-0.032654003,-0.177344366,0.073192322,0.150929732,0.097027422,0.056878377,-0.240863223,-0.150045666,-0.570691838,-0.776264272,-0.367592895,-0.39396322,-0.431016887,0.561800085
HOU,TrevorAriza,SF,1.413156303,2.348418364,1.767793206,0.802112975,1.044307022,-0.234138253,2.695559229,2.820617752,-0.113202539,-0.152308125,0.244500571,0.363455818,0.154781708,-0.045449859,0.767959499,0.056878377,1.322946104,0.96433474,0.385819834,2.951522107,-0.367592895,0.939568379,0.72845416,0.834226049
DEN,DarrellArthur,PF,0.472096117,-0.659400525,-0.280557227,-0.11703037,-0.023696965,-0.214700135,-0.353366248,0.017225147,-0.055852459,-0.037747074,0.11516177,-0.322201558,-0.416343994,-0.503668906,0.413046154,0.056878377,-0.301009736,-0.192906451,-0.458161053,0.388668971,0.102089096,-0.224924003,-0.431016887,1.106652012
NOP,OmerAsik,C,1.177891256,2.11704768,0.716233626,-0.06596685,-0.308498028,0.883553536,-0.963151343,-1.069804639,0.28824802,0.162734764,0.540132117,0.440712987,0.31796048,0.805528371,-0.549595521,2.94379341,2.465729843,2.764487704,-0.514426446,-0.543277623,0.806612083,-0.093449057,0.213133695,0.289374122
