Tm,Player,Pos,G,,GS,,MP,,FG,,FGA,,FGPercent,,3P,,3PA,,2P,,2PA,,2PPercent,,eFGPercent,,FT,,FTA,,FTPercent,,ORB,,DRB,,TRB,,AST,,STL,,BLK,,TOV,,PF,,PTS, 
IND,Lavoy Allen,PF,63,0.668150323,0,-0.813647648,17,-0.280557227,2.2,-0.372347965,4.7,-0.474631982,0.472,0.446195879,0,-0.963151343,0,-1.069804639,2.2,-0.055852459,4.7,-0.037747074,0.472,0.124400256,0.472,0.006141411,0.5,-0.661112153,0.7,-0.700048498,0.702,0.033823676,2,1.437576871,3.2,0.420748415,5.1,0.750030816,1.2,-0.345630268,0.2,-1.00925092,0.7,0.806612083,0.6,-0.688677119,1.6,-0.119264823,5,-0.525438166
MEM,Tony Allen,SG,63,0.668150323,41,0.767385358,26.2,0.727187371,3.6,0.342541303,7.2,0.118703567,0.495,0.669734237,0.2,-0.658258795,0.5,-0.783744169,3.4,0.6323485,6.8,0.563698442,0.505,0.429270287,0.505,0.324827233,1.3,-0.008397064,2,0.150929732,0.627,-0.330813323,1.6,0.935504691,2.8,0.180162365,4.4,0.450005322,1.4,-0.233099483,2,3.184508755,0.5,0.336930092,1.4,0.341963811,2.6,1.242864993,8.6,0.150718701
DAL,Al-Farouq Aminu,SF,74,1.099469574,3,-0.697962306,18.5,-0.116251042,2,-0.474475004,4.8,-0.45089856,0.412,-0.136947663,0.5,-0.200919974,1.7,-0.097199041,1.5,-0.457303018,3.1,-0.495991277,0.485,0.244500571,0.459,-0.119401489,1.1,-0.171575836,1.6,-0.110909723,0.712,0.082441942,1.5,0.809986646,3.1,0.360601903,4.6,0.535726892,0.8,-0.570691838,0.9,0.62165562,0.8,1.041453079,0.7,-0.559847003,1.9,0.289374122,5.6,-0.412745355
TOT,Lou Amundson,PF,53,0.276041912,35,0.536014674,17.7,-0.203881007,2.1,-0.423411484,4.8,-0.45089856,0.427,0.008838223,0,-0.963151343,0,-1.069804639,2.1,-0.113202539,4.8,-0.009106812,0.429,-0.272854634,0.427,-0.428430165,0.8,-0.416343994,1.6,-0.110909723,0.471,-1.089258279,1.8,1.186540781,3.3,0.480894928,5.1,0.750030816,1.3,-0.289364876,0.4,-0.543277623,1,1.51113507,1.2,0.084303578,2.4,0.97043903,4.9,-0.544220302
CLE,Lou Amundson,PF,12,-1.331602572,0,-0.813647648,6.6,-1.419746773,0.3,-1.342554829,1,-1.352768593,0.333,-0.904753327,0,-0.963151343,0,-1.069804639,0.3,-1.145503976,1,-1.097436793,0.333,-1.159749271,0.333,-1.336201902,0.3,-0.824290925,0.4,-0.89642809,0.6,-0.462082642,0.4,-0.570711848,1.3,-0.722035324,1.7,-0.707235869,0.4,-0.795753408,0.1,-1.242237569,0,-0.837274886,0.4,-0.946337352,0.9,-1.072755694,0.9,-1.29550571
NYK,Lou Amundson,PF,41,-0.194488181,35,0.536014674,20.9,0.146638853,2.6,-0.168093889,5.9,-0.189830919,0.432,0.057433518,0,-0.963151343,0,-1.069804639,2.6,0.173547861,5.9,0.305936078,0.434,-0.226662205,0.432,-0.380144435,0.9,-0.334754608,2,0.150929732,0.463,-1.128152892,2.2,1.688612961,3.9,0.841774003,6,1.135777879,1.6,-0.120568698,0.5,-0.310290974,1.3,2.215658056,1.4,0.341963811,2.8,1.515290956,6,-0.337616814
MIA,Chris Andersen,C,60,0.550517799,20,-0.042412035,18.9,-0.07243606,2,-0.474475004,3.5,-0.759433045,0.58,1.495854256,0.1,-0.810705069,0.2,-0.955380451,1.9,-0.227902698,3.2,-0.467351014,0.598,1.288449467,0.589,1.136027509,1.3,-0.008397064,1.9,0.085469868,0.667,-0.136340257,1.3,0.558950556,3.7,0.721480978,5,0.707170031,0.7,-0.626957231,0.4,-0.543277623,1,1.51113507,0.7,-0.559847003,1.5,-0.255477804,5.3,-0.469091761
BRK,Alan Anderson,SG,74,1.099469574,19,-0.080973816,23.6,0.442389985,2.6,-0.168093889,5.9,-0.189830919,0.443,0.164343167,1,0.561311395,2.8,0.532133992,1.6,-0.399952938,3.1,-0.495991277,0.53,0.660232432,0.526,0.527627302,1.1,-0.171575836,1.4,-0.241829451,0.812,0.568624606,0.4,-0.570711848,2.3,-0.120570198,2.8,-0.235767236,1.1,-0.401895661,0.8,0.388668971,0.1,-0.60243389,0.8,-0.431016887,2,0.425587104,7.4,-0.074666922
SAS,Kyle Anderson,SF,33,-0.50817491,8,-0.505153403,10.8,-0.959689456,0.9,-1.036173714,2.7,-0.949300421,0.348,-0.758967441,0.1,-0.810705069,0.3,-0.898168357,0.8,-0.858753577,2.4,-0.696473116,0.359,-0.91954864,0.365,-1.027173226,0.3,-0.824290925,0.4,-0.89642809,0.643,-0.253024096,0.2,-0.821747938,2,-0.301009736,2.2,-0.492931945,0.8,-0.570691838,0.5,-0.310290974,0.2,-0.367592895,0.3,-1.075167468,0.8,-1.208968675,2.2,-1.051337952
NOP,Ryan Anderson,PF,61,0.58972864,5,-0.620838745,27.5,0.869586065,4.8,0.955303533,12,1.257907819,0.399,-0.26329543,2,2.085774133,5.9,2.305708906,2.8,0.28824802,6.1,0.363216603,0.457,-0.014177031,0.483,0.112370018,2.1,0.644318024,2.5,0.478229051,0.854,0.772821325,1.8,1.186540781,3.1,0.360601903,4.8,0.621448461,0.9,-0.514426446,0.5,-0.310290974,0.3,-0.132751899,1,-0.173356654,1.9,0.289374122,13.7,1.108607596
MIL,Giannis Antetokounmpo,SG,81,1.373945462,71,1.924238777,31.4,1.296782144,4.7,0.904240013,9.6,0.688305693,0.491,0.630858001,0.1,-0.810705069,0.5,-0.783744169,4.6,1.320549458,9.1,1.222424483,0.511,0.484701202,0.496,0.237912918,3.2,1.54180127,4.3,1.656506601,0.741,0.223434915,1.2,0.433432512,5.5,1.804118205,6.7,1.435803373,2.6,0.442085227,0.9,0.62165562,1,1.51113507,2.1,1.243774625,3.1,1.923929901,12.7,0.920786244
NYK,Carmelo Anthony,SF,40,-0.233699022,40,0.728823577,35.7,1.767793206,9,3.099971337,20.2,3.204048418,0.444,0.174062226,1.5,1.323542764,4.5,1.50473959,7.4,2.926351695,15.7,3.11268182,0.474,0.142877227,0.482,0.102712872,4.7,2.765642061,5.9,2.703864423,0.797,0.495697207,1.8,1.186540781,4.8,1.383092617,6.6,1.392942589,3.1,0.723412189,1,0.854642269,0.4,0.102089096,2.2,1.372604742,2.2,0.698013067,24.2,3.080731792
