Tm,Player,Pos,G,,GS,,MP,,FG,,FGA,,FGPercent,,3P,,3PA,,2P,,2PA,,2PPercent,,eFGPercent,,FT,,FTA,,FTPercent,,ORB,,DRB,,TRB,,AST,,STL,,BLK,,TOV,,PF,,PTS, 
POR,Chris Kaman,C,74,1.099469574,13,-0.3123445,18.9,-0.07243606,3.8,0.444668341,7.4,0.16617041,0.515,0.864115418,0,-0.963151343,0,-1.069804639,3.8,0.861748819,7.4,0.735540018,0.515,0.521655145,0.515,0.421398695,1,-0.253165222,1.4,-0.241829451,0.706,0.053270982,2,1.437576871,4.5,1.202653079,6.5,1.350081804,0.9,-0.514426446,0.2,-1.00925092,0.7,0.806612083,1.5,0.470793927,1.9,0.289374122,8.6,0.150718701
TOT,Enes Kanter,C,75,1.138680415,74,2.039924119,28.5,0.979123521,6.4,1.772319839,12.4,1.352841507,0.519,0.902991654,0.2,-0.658258795,0.6,-0.726532075,6.2,2.238150736,11.8,1.995711575,0.528,0.641755461,0.528,0.546941595,2.4,0.889086182,3.1,0.870988235,0.782,0.422769807,3.7,3.571383635,5.3,1.68382518,8.9,2.37874064,0.7,-0.626957231,0.5,-0.310290974,0.4,0.102089096,1.9,0.986114393,2.5,1.106652012,15.5,1.44668603
UTA,Enes Kanter,C,49,0.119198548,48,1.037317822,27.1,0.825771082,5.8,1.465938724,11.9,1.234174397,0.491,0.630858001,0.3,-0.505812521,0.8,-0.612107887,5.6,1.894050257,11,1.766589474,0.505,0.429270287,0.503,0.305512941,1.9,0.481139252,2.4,0.412769188,0.788,0.451940767,3,2.69275732,4.8,1.383092617,7.8,1.907272007,0.5,-0.739488016,0.5,-0.310290974,0.3,-0.132751899,1.9,0.986114393,2.3,0.834226049,13.8,1.127389731
OKC,Enes Kanter,C,26,-0.782650797,26,0.188958649,31.1,1.263920907,7.5,2.334018549,13.3,1.566442305,0.566,1.359787429,0.1,-0.810705069,0.2,-0.955380451,7.4,2.926351695,13.2,2.396675253,0.564,0.97434095,0.571,0.962198878,3.5,1.786569428,4.5,1.787426329,0.776,0.393598847,5,5.203118219,6,2.104850768,11,3.278817122,1.1,-0.401895661,0.5,-0.310290974,0.5,0.336930092,2,1.114944509,2.9,1.651503938,18.7,2.047714356
BRK,Sergey Karasev,SG,33,-0.50817491,16,-0.196659158,16.8,-0.302464718,1.6,-0.67872908,4.1,-0.617032513,0.403,-0.224419194,0.5,-0.200919974,1.6,-0.154411135,1.2,-0.629353257,2.4,-0.696473116,0.475,0.152115713,0.463,-0.080772904,0.9,-0.334754608,1.2,-0.372749179,0.763,0.330395101,0.7,-0.194157713,1.3,-0.722035324,2,-0.578653515,1.4,-0.233099483,0.7,0.155682323,0,-0.837274886,0.7,-0.559847003,1.4,-0.391690786,4.6,-0.600566707
LAL,Ryan Kelly,PF,52,0.236831071,34,0.497452894,23.7,0.453343731,2,-0.474475004,5.9,-0.189830919,0.337,-0.865877091,0.9,0.408865121,2.6,0.417709804,1.1,-0.686703337,3.4,-0.410070489,0.337,-1.122795328,0.409,-0.602258796,1.5,0.154781708,1.8,0.020010004,0.832,0.665861139,0.3,-0.696229893,2.6,0.05986934,2.8,-0.235767236,1.8,-0.008037913,0.6,-0.077304326,0.5,0.336930092,0.7,-0.559847003,2.3,0.834226049,6.4,-0.262488274
CHO,Michael Kidd-Gilchrist,SF,55,0.354463594,52,1.191564945,28.9,1.022938503,4.1,0.597858899,8.8,0.498438317,0.465,0.378162466,0,-0.963151343,0,-1.069804639,4.1,1.033799059,8.8,1.136503695,0.465,0.059730855,0.465,-0.061458612,2.7,1.13385434,3.9,1.394667146,0.701,0.028961849,2,1.437576871,5.6,1.864264717,7.6,1.821550437,1.4,-0.233099483,0.5,-0.310290974,0.7,0.806612083,1.1,-0.044526538,2.1,0.561800085,10.9,0.582707811
MIN,Sean Kilpatrick,SG,4,-1.6452893,0,-0.813647648,18,-0.171019771,1.8,-0.576602042,5,-0.403431716,0.35,-0.739529323,1,0.561311395,3.3,0.818194462,0.8,-0.858753577,1.8,-0.868314692,0.429,-0.272854634,0.45,-0.206315804,1,-0.253165222,1,-0.503668906,1,1.482648015,0.3,-0.696229893,1.3,-0.722035324,1.5,-0.792957439,1,-0.458161053,0.8,0.388668971,0,-0.837274886,0.5,-0.817507236,0.8,-1.208968675,5.5,-0.43152749
BRK,Andrei Kirilenko,SF,7,-1.527656777,0,-0.813647648,5.1,-1.584052957,0,-1.495745386,0.7,-1.423968859,0,-4.141199987,0,-0.963151343,0,-1.069804639,0,-1.317554216,0.7,-1.183357581,0,-4.236165043,0,-4.552031565,0.4,-0.742701539,0.6,-0.765508362,0.75,0.267191355,0.3,-0.696229893,0.9,-0.962621374,1.1,-0.964400578,0.1,-0.964549585,0.1,-1.242237569,0,-0.837274886,0.1,-1.332827701,0.1,-2.162459546,0.4,-1.389416386
CLE,Alex Kirk,C,5,-1.606078459,0,-0.813647648,2.8,-1.835989107,0.2,-1.393618348,0.8,-1.400235437,0.25,-1.711435227,0,-0.963151343,0,-1.069804639,0.2,-1.202854056,0.8,-1.154717319,0.25,-1.926543592,0.25,-2.137745031,0.4,-0.742701539,0.4,-0.89642809,1,1.482648015,0.2,-0.821747938,0,-1.503939988,0.2,-1.350147642,0.2,-0.908284193,0,-1.475224218,0,-0.837274886,0,-1.461657817,0.2,-2.026246565,0.8,-1.314287845
TOT,Brandon Knight,PG-SG,63,0.668150323,61,1.538620971,32.3,1.395365855,6,1.568065762,14.1,1.75630968,0.422,-0.039757073,2,2.085774133,5.1,1.848012154,4,0.976448979,9,1.193784221,0.441,-0.161992804,0.493,0.20894148,3.1,1.460211884,3.5,1.13282769,0.874,0.870057858,0.4,-0.570711848,3.4,0.54104144,3.9,0.235701398,5.2,1.904985431,1.4,1.786588863,0.2,-0.367592895,3,2.403245672,1.8,0.153161141,17,1.728418058
MIL,Brandon Knight,PG,52,0.236831071,52,1.191564945,32.5,1.417273346,6.2,1.670192801,14.3,1.803776524,0.435,0.086590695,2,2.085774133,4.9,1.733587966,4.2,1.091149139,9.4,1.308345271,0.448,-0.097323403,0.505,0.324827233,3.3,1.623390656,3.7,1.263747418,0.881,0.904090645,0.5,-0.445193803,3.8,0.781627491,4.3,0.407144537,5.4,2.017516216,1.6,2.252562161,0.2,-0.367592895,3.2,2.660905905,1.8,0.153161141,17.8,1.878675139
PHO,Brandon Knight,SG,11,-1.370813413,9,-0.466591622,31.5,1.30773589,4.6,0.853176494,13,1.495242039,0.357,-0.67149591,1.9,1.933327859,6.1,2.420133094,2.7,0.230897941,6.9,0.592338704,0.395,-0.586963151,0.43,-0.399458727,2.2,0.72590741,2.6,0.543688915,0.828,0.646413833,0.2,-0.821747938,1.9,-0.361156248,2.1,-0.53579273,4.5,1.511127684,0.5,-0.310290974,0.1,-0.60243389,2.1,1.243774625,1.9,0.289374122,13.4,1.052261191
ATL,Kyle Korver,SG,75,1.138680415,75,2.078485899,32.2,1.384412109,3.9,0.49573186,8,0.308570942,0.487,0.591981765,2.9,3.457790598,6,2.362921,0.9,-0.801403497,2,-0.811034166,0.47,0.105923284,0.671,1.927913492,1.4,0.073192322,1.6,-0.110909723,0.898,0.986741698,0.2,-0.821747938,3.9,0.841774003,4.1,0.321422967,2.6,0.442085227,0.7,0.155682323,0.6,0.571771087,1.4,0.341963811,1.9,0.289374122,12.1,0.808093433
MEM,Kosta Koufos,C,81,1.373945462,3,-0.697962306,16.6,-0.324372209,2.2,-0.372347965,4.4,-0.545832248,0.508,0.796082005,0,-0.963151343,0,-1.069804639,2.2,-0.055852459,4.4,-0.123667862,0.508,0.456985745,0.508,0.353798672,0.7,-0.49793338,1,-0.503668906,0.647,-0.23357679,1.5,0.809986646,3.8,0.781627491,5.3,0.835752386,0.5,-0.739488016,0.4,-0.543277623,0.8,1.041453079,0.9,-0.302186771,1.8,0.153161141,5.2,-0.487873896
GSW,Ognjen Kuzmic,C,16,-1.174759208,0,-0.813647648,4.5,-1.649775431,0.5,-1.240427791,0.8,-1.400235437,0.667,2.341412392,0,-0.963151343,0,-1.069804639,0.5,-1.030803817,0.8,-1.154717319,0.667,1.925904987,0.667,1.889284907,0.3,-0.824290925,0.3,-0.961887953,1,1.482648015,0.4,-0.570711848,0.6,-1.143060912,1.1,-0.964400578,0.4,-0.795753408,0.1,-1.242237569,0.1,-0.60243389,0.3,-1.075167468,0.8,-1.208968675,1.3,-1.220377169
OKC,Jeremy Lamb,SG,47,0.040776865,8,-0.505153403,13.5,-0.663938324,2.2,-0.372347965,5.3,-0.33223145,0.416,-0.098071427,0.8,0.256418848,2.4,0.303285616,1.4,-0.514653098,3,-0.52463154,0.475,0.152115713,0.492,0.199284334,1,-0.253165222,1.2,-0.372749179,0.891,0.952708911,0.2,-0.821747938,2.1,-0.240863223,2.3,-0.45007116,0.9,-0.514426446,0.4,-0.543277623,0.1,-0.60243389,0.6,-0.688677119,1.1,-0.800329731,6.3,-0.281270409
SAC,Carl Landry,PF,70,0.94262621,15,-0.235220938,17,-0.280557227,2.7,-0.11703037,5.3,-0.33223145,0.515,0.864115418,0,-0.963151343,0,-1.069804639,2.7,0.230897941,5.3,0.134094502,0.515,0.521655145,0.515,0.421398695,1.8,0.399549866,2.1,0.216389596,0.82,0.607519219,1.4,0.684468601,2.4,-0.060423685,3.8,0.192840613,0.4,-0.795753408,0.2,-1.00925092,0.2,-0.367592895,0.8,-0.431016887,1.9,0.289374122,7.2,-0.112231192
NYK,Shane Larkin,PG,76,1.177891256,22,0.034711526,24.5,0.540973696,2.5,-0.219157408,5.7,-0.237297762,0.433,0.067152577,0.5,-0.200919974,1.5,-0.211623229,2,-0.170552618,4.2,-0.180948388,0.481,0.207546628,0.473,0.015798557,0.8,-0.416343994,1,-0.503668906,0.782,0.422769807,0.4,-0.570711848,1.9,-0.361156248,2.3,-0.45007116,3,0.667146797,1.2,1.320615566,0.1,-0.60243389,1.1,-0.044526538,2,0.425587104,6.2,-0.300052544
DEN,Joffrey Lauvergne,C,24,-0.861072479,1,-0.775085867,11.2,-0.915874473,1.5,-0.729792599,3.7,-0.711966201,0.404,-0.214700135,0.1,-0.810705069,0.7,-0.669319981,1.4,-0.514653098,3,-0.52463154,0.452,-0.06036946,0.421,-0.486373042,0.8,-0.416343994,1.2,-0.372749179,0.643,-0.253024096,1.1,0.307914467,2.1,-0.240863223,3.2,-0.064324096,0.5,-0.739488016,0.3,-0.776264272,0.4,0.102089096,0.9,-0.302186771,1.8,0.153161141,3.9,-0.732041654
MIN,Zach LaVine,PG,77,1.217102097,40,0.728823577,24.7,0.562881187,3.7,0.393604822,8.8,0.498438317,0.422,-0.039757073,0.7,0.103972574,2.2,0.188861429,3,0.40294818,6.6,0.506417916,0.449,-0.088084918,0.465,-0.061458612,1.9,0.481139252,2.3,0.347309324,0.842,0.714479406,0.4,-0.570711848,2.4,-0.060423685,2.8,-0.235767236,3.6,1.004739152,0.7,0.155682323,0.1,-0.60243389,2.5,1.75909509,2.1,0.561800085,10.1,0.432450729
DEN,Ty Lawson,PG,75,1.138680415,75,2.078485899,35.5,1.745885715,5.4,1.261684647,12.3,1.329108085,0.436,0.096309754,0.9,0.408865121,2.7,0.474921898,4.5,1.263199378,9.6,1.365625797,0.463,0.041253884,0.474,0.025455703,3.5,1.786569428,4.8,1.98380592,0.73,0.169954822,0.6,-0.319675758,2.6,0.05986934,3.1,-0.107184881,9.6,4.380662701,1.2,1.320615566,0.1,-0.60243389,2.5,1.75909509,1.7,0.016948159,15.2,1.390339624
TOT,Ricky Ledo,SG,17,-1.135548367,0,-0.813647648,14.4,-0.565354613,1.9,-0.525538523,5.6,-0.261031184,0.333,-0.904753327,0.6,-0.0484737,1.6,-0.154411135,1.3,-0.572003178,4.1,-0.20958865,0.319,-1.289088072,0.385,-0.834030303,0.9,-0.334754608,1.3,-0.307289315,0.727,0.155369342,0.9,0.056878377,1.2,-0.782181837,2.1,-0.53579273,1.1,-0.401895661,0.4,-0.543277623,0.1,-0.60243389,1.5,0.470793927,1.2,-0.664116749,5.3,-0.469091761
DAL,Ricky Ledo,SG,5,-1.606078459,0,-0.813647648,2.2,-1.90171158,0,-1.495745386,1.2,-1.30530175,0,-4.141199987,0,-0.963151343,0.6,-0.726532075,0,-1.317554216,0.6,-1.211997844,0,-4.236165043,0,-4.552031565,0.2,-0.905880311,0.4,-0.89642809,0.5,-0.948265306,0.2,-0.821747938,0.2,-1.383646962,0.4,-1.264426072,0.2,-0.908284193,0,-1.475224218,0,-0.837274886,0.4,-0.946337352,0.2,-2.026246565,0.2,-1.426980656
NYK,Ricky Ledo,SG,12,-1.331602572,0,-0.813647648,19.4,-0.017667332,2.7,-0.11703037,7.5,0.189903832,0.356,-0.681214969,0.8,0.256418848,2,0.074437241,1.8,-0.285252778,5.5,0.191375027,0.333,-1.159749271,0.411,-0.582944503,1.3,-0.008397064,1.7,-0.045449859,0.75,0.267191355,1.3,0.558950556,1.6,-0.541595786,2.8,-0.235767236,1.5,-0.176834091,0.5,-0.310290974,0.1,-0.60243389,2,1.114944509,1.7,0.016948159,7.4,-0.074666922
MEM,Courtney Lee,SG,77,1.217102097,74,2.039924119,30.6,1.209152179,3.7,0.393604822,8.4,0.40350463,0.448,0.212938462,1.2,0.866203943,2.9,0.589346086,2.6,0.173547861,5.4,0.162734764,0.473,0.133638742,0.518,0.450370133,1.4,0.073192322,1.7,-0.045449859,0.86,0.801992285,0.3,-0.696229893,2,-0.301009736,2.3,-0.45007116,2,0.104492872,1,0.854642269,0.2,-0.367592895,1,-0.173356654,1.7,0.016948159,10.1,0.432450729
GSW,David Lee,PF,49,0.119198548,4,-0.659400525,18.4,-0.127204788,3.3,0.189350745,6.4,-0.071163809,0.511,0.825239182,0,-0.963151343,0,-1.069804639,3.3,0.57499842,6.3,0.420497128,0.514,0.51241666,0.511,0.38277011,1.4,0.073192322,2.1,0.216389596,0.654,-0.199544003,1.7,1.061022736,3.6,0.661334466,5.2,0.792891601,1.7,-0.064303306,0.6,-0.077304326,0.5,0.336930092,1,-0.173356654,1.7,0.016948159,7.9,0.019243754
PHI,Malcolm Lee,SG,1,-1.762921824,0,-0.813647648,2,-1.923619072,0,-1.495745386,1,-1.352768593,0,-4.141199987,0,-0.963151343,0,-1.069804639,0,-1.317554216,1,-1.097436793,0,-4.236165043,0,-4.552031565,0,-1.069059083,0,-1.158267545,0,-3.379178627,0,-1.072784028,0,-1.503939988,0,-1.435869212,0,-1.020814978,0,-1.475224218,0,-0.837274886,0,-1.461657817,0,-2.298672528,0,-1.464544926
PHO,Alex Len,C,69,0.903415369,44,0.8830707,22,0.267130055,2.6,-0.168093889,5.1,-0.379698294,0.507,0.786362946,0,-0.963151343,0,-1.069804639,2.6,0.173547861,5.1,0.076813976,0.509,0.466224231,0.508,0.353798672,1.1,-0.171575836,1.5,-0.176369587,0.702,0.033823676,2.1,1.563094916,4.5,1.202653079,6.6,1.392942589,0.5,-0.739488016,0.5,-0.310290974,1.5,2.685340047,1.1,-0.044526538,3.1,1.923929901,6.3,-0.281270409
SAS,Kawhi Leonard,SF,64,0.707361164,64,1.654306312,31.8,1.340597127,6.2,1.670192801,12.8,1.447775195,0.479,0.514229293,1,0.561311395,3,0.64655818,5.1,1.607299858,9.8,1.422906322,0.519,0.558609089,0.52,0.469684425,3.2,1.54180127,3.9,1.394667146,0.802,0.52000634,1.3,0.558950556,5.9,2.044704255,7.2,1.650107298,2.5,0.385819834,2.3,3.883468701,0.8,1.041453079,1.5,0.470793927,2,0.425587104,16.5,1.634507382
POR,Meyers Leonard,C,55,0.354463594,7,-0.543715183,15.4,-0.455817157,2.3,-0.321284446,4.5,-0.522098826,0.51,0.815520123,0.9,0.408865121,2,0.074437241,1.4,-0.514653098,2.4,-0.696473116,0.586,1.177587637,0.606,1.300198993,0.5,-0.661112153,0.6,-0.765508362,0.938,1.181214763,0.8,-0.068639668,3.7,0.721480978,4.5,0.492866107,0.6,-0.683222623,0.2,-1.00925092,0.3,-0.132751899,0.7,-0.559847003,2.1,0.561800085,5.9,-0.35639895
MEM,Jon Leuer,PF,63,0.668150323,6,-0.582276964,13.1,-0.707753306,1.9,-0.525538523,4.3,-0.56956567,0.443,0.164343167,0.1,-0.810705069,0.5,-0.783744169,1.8,-0.285252778,3.9,-0.266869176,0.467,0.078207827,0.456,-0.148372927,0.6,-0.579522766,0.9,-0.56912877,0.627,-0.330813323,0.8,-0.068639668,2.5,-0.000277173,3.3,-0.021463312,0.7,-0.626957231,0.3,-0.776264272,0.1,-0.60243389,0.6,-0.688677119,1.4,-0.391690786,4.5,-0.619348842
POR,Damian Lillard,PG,82,1.413156303,82,2.348418364,35.7,1.767793206,7.2,2.180827992,16.6,2.349645228,0.434,0.076871636,2.4,2.695559229,7,2.93504194,4.8,1.435249618,9.6,1.365625797,0.5,0.383077858,0.506,0.33448438,4.2,2.35769513,4.9,2.049265784,0.864,0.821439592,0.6,-0.319675758,4,0.901920516,4.6,0.535726892,6.2,2.467639356,1.2,1.320615566,0.3,-0.132751899,2.7,2.016755323,2,0.425587104,21,2.479703466
LAL,Jeremy Lin,PG,74,1.099469574,30,0.343205771,25.8,0.683372389,3.7,0.393604822,8.8,0.498438317,0.424,-0.020318954,0.9,0.408865121,2.4,0.303285616,2.9,0.3455981,6.5,0.477777654,0.444,-0.134277347,0.473,0.015798557,2.9,1.297033112,3.6,1.198287554,0.795,0.485973553,0.4,-0.570711848,2.3,-0.120570198,2.6,-0.321488806,4.6,1.567393076,1.1,1.087628917,0.4,0.102089096,2.2,1.372604742,2.6,1.242864993,11.2,0.639054216
GSW,Shaun Livingston,PG,78,1.256312939,2,-0.736524087,18.8,-0.083389805,2.5,-0.219157408,5.1,-0.379698294,0.5,0.718329532,0,-0.963151343,0,-1.069804639,2.5,0.116197781,5.1,0.076813976,0.503,0.410793316,0.5,0.276541503,0.8,-0.416343994,1.2,-0.372749179,0.714,0.092165595,0.6,-0.319675758,1.8,-0.421302761,2.3,-0.45007116,3.3,0.835942974,0.6,-0.077304326,0.3,-0.132751899,1.3,0.213133695,1.4,-0.391690786,5.9,-0.35639895
BRK,Brook Lopez,C,72,1.021047892,44,0.8830707,29.2,1.05579974,7,2.078700954,13.7,1.661375992,0.513,0.8446773,0,-0.963151343,0.1,-1.012592545,7,2.696951375,13.6,2.511236304,0.517,0.540132117,0.513,0.402084402,3.1,1.460211884,3.8,1.329207282,0.814,0.57834826,3,2.69275732,4.5,1.202653079,7.4,1.735828867,0.7,-0.626957231,0.6,-0.077304326,1.8,3.389863034,1.4,0.341963811,2.9,1.651503938,17.2,1.765982328
POR,Robin Lopez,C,59,0.511306958,59,1.461497409,27.8,0.902447301,4,0.546795379,7.4,0.16617041,0.535,1.058496599,0,-0.963151343,0,-1.069804639,4,0.976448979,7.4,0.735540018,0.537,0.724901833,0.535,0.614541617,1.7,0.31796048,2.2,0.28184946,0.772,0.374151541,3.2,2.94379341,3.5,0.601187953,6.7,1.435803373,0.9,-0.514426446,0.3,-0.776264272,1.4,2.450499052,1.2,0.084303578,2.1,0.561800085,9.6,0.338540053
CLE,Kevin Love,PF,75,1.138680415,75,2.078485899,33.8,1.559672039,5.5,1.312748167,12.7,1.424041773,0.434,0.076871636,1.9,1.933327859,5.2,1.905224248,3.6,0.747048659,7.5,0.764180281,0.48,0.198308142,0.509,0.363455818,3.4,1.704980042,4.3,1.656506601,0.804,0.529729993,1.9,1.312058826,7.9,3.247634507,9.7,2.721626919,2.2,0.217023657,0.7,0.155682323,0.5,0.336930092,1.6,0.599624044,1.9,0.289374122,16.4,1.615725247
TOR,Kyle Lowry,PG,70,0.94262621,70,1.885676996,34.5,1.636348259,6.1,1.619129281,14.9,1.946177056,0.412,-0.136947663,1.9,1.933327859,5.6,2.134072624,4.3,1.148499219,9.3,1.279705009,0.457,-0.014177031,0.476,0.044769995,3.6,1.868158814,4.5,1.787426329,0.808,0.5491773,0.8,-0.068639668,3.9,0.841774003,4.7,0.578587676,6.8,2.805231711,1.6,2.252562161,0.2,-0.367592895,2.5,1.75909509,3,1.78771692,17.8,1.878675139
MEM,Kalin Lucas,PG,1,-1.762921824,0,-0.813647648,6,-1.485469246,0,-1.495745386,1,-1.352768593,0,-4.141199987,0,-0.963151343,0,-1.069804639,0,-1.317554216,1,-1.097436793,0,-4.236165043,0,-4.552031565,0,-1.069059083,0,-1.158267545,0,-3.379178627,0,-1.072784028,0,-1.503939988,0,-1.435869212,0,-1.020814978,1,0.854642269,0,-0.837274886,0,-1.461657817,1,-0.936542712,0,-1.464544926
DET,John Lucas III,PG,21,-0.978705002,0,-0.813647648,13,-0.718707052,2,-0.474475004,5,-0.403431716,0.404,-0.214700135,0.4,-0.353366248,1.4,-0.268835323,1.6,-0.399952938,3.6,-0.352789964,0.44,-0.17123129,0.447,-0.235287242,0.2,-0.905880311,0.2,-1.027347817,1,1.482648015,0.2,-0.821747938,0.6,-1.143060912,0.8,-1.092982933,2.9,0.610881404,0.4,-0.543277623,0,-0.837274886,0.8,-0.431016887,0.9,-1.072755694,4.7,-0.581784572
ATL,Shelvin Mack,PG,55,0.354463594,0,-0.813647648,15.1,-0.488678394,2.1,-0.423411484,5.3,-0.33223145,0.401,-0.243857312,0.7,0.103972574,2.3,0.246073523,1.4,-0.514653098,3,-0.52463154,0.467,0.078207827,0.469,-0.022830028,0.5,-0.661112153,0.6,-0.765508362,0.806,0.539453646,0.1,-0.947265983,1.3,-0.722035324,1.4,-0.835818224,2.8,0.554616012,0.5,-0.310290974,0,-0.837274886,0.9,-0.302186771,0.6,-1.481394638,5.4,-0.450309626
IND,Ian Mahinmi,C,61,0.58972864,6,-0.582276964,18.8,-0.083389805,1.9,-0.525538523,3.5,-0.759433045,0.552,1.223720602,0,-0.963151343,0,-1.069804639,1.9,-0.227902698,3.5,-0.381430226,0.552,0.86347912,0.552,0.778713102,0.5,-0.661112153,1.7,-0.045449859,0.304,-1.901183328,1.7,1.061022736,4.1,0.962067029,5.8,1.05005631,0.5,-0.739488016,0.5,-0.310290974,0.8,1.041453079,1,-0.173356654,2.8,1.515290956,4.3,-0.656913113
ORL,Devyn Marble,SG,16,-1.174759208,7,-0.543715183,13,-0.718707052,0.9,-1.036173714,2.8,-0.925566999,0.318,-1.050539213,0.3,-0.505812521,1.4,-0.268835323,0.6,-0.973453737,1.4,-0.982875742,0.455,-0.032654003,0.364,-1.036830372,0.3,-0.824290925,1,-0.503668906,0.313,-1.857426888,0.3,-0.696229893,1.6,-0.541595786,1.9,-0.6215143,1.1,-0.401895661,0.6,-0.077304326,0.1,-0.60243389,0.6,-0.688677119,0.9,-1.072755694,2.3,-1.032555817
CLE,Shawn Marion,SF,57,0.432885276,24,0.111835087,19.3,-0.028621077,2.1,-0.423411484,4.7,-0.474631982,0.446,0.193500344,0.2,-0.658258795,0.8,-0.612107887,1.9,-0.227902698,3.9,-0.266869176,0.484,0.235262085,0.468,-0.032487174,0.5,-0.661112153,0.6,-0.765508362,0.765,0.340118754,1.1,0.307914467,2.4,-0.060423685,3.5,0.064258258,0.9,-0.514426446,0.5,-0.310290974,0.5,0.336930092,0.6,-0.688677119,1,-0.936542712,4.8,-0.563002437
MIL,Kendall Marshall,PG,28,-0.704229115,3,-0.697962306,14.9,-0.510585885,1.6,-0.67872908,3.6,-0.735699623,0.455,0.280971876,0.6,-0.0484737,1.6,-0.154411135,1,-0.744053417,2,-0.811034166,0.509,0.466224231,0.545,0.711113079,0.3,-0.824290925,0.3,-0.961887953,0.889,0.942985258,0.1,-0.947265983,0.9,-0.962621374,1,-1.007261363,3.1,0.723412189,0.8,0.388668971,0,-0.837274886,1.3,0.213133695,0.9,-1.072755694,4.2,-0.675695248
DET,Cartier Martin,SF,23,-0.90028332,0,-0.813647648,8.6,-1.20067186,0.7,-1.138300752,2.3,-1.044234108,0.283,-1.390706279,0.3,-0.505812521,1.4,-0.268835323,0.4,-1.088153896,0.9,-1.126077056,0.45,-0.078846432,0.34,-1.268601879,0,-1.069059083,0,-1.158267545,0,-3.379178627,0,-1.072784028,0.9,-0.962621374,0.9,-1.050122148,0.5,-0.739488016,0.1,-1.242237569,0,-0.837274886,0.2,-1.203997585,0.9,-1.072755694,1.6,-1.164030763
MIL,Kenyon Martin,PF,11,-1.370813413,0,-0.813647648,9.5,-1.102088149,0.8,-1.087237233,2,-1.115434374,0.409,-0.16610484,0,-0.963151343,0,-1.069804639,0.8,-0.858753577,2,-0.811034166,0.409,-0.45762435,0.409,-0.602258796,0.2,-0.905880311,0.2,-1.027347817,1,1.482648015,0.5,-0.445193803,1.2,-0.782181837,1.7,-0.707235869,0.5,-0.739488016,0.5,-0.310290974,0.5,0.336930092,0.3,-1.075167468,1.2,-0.664116749,1.8,-1.126466493
MIN,Kevin Martin,SG,39,-0.272909863,36,0.574576455,33.4,1.515857057,6.8,1.976573915,16,2.207244697,0.427,0.008838223,1.9,1.933327859,4.9,1.733587966,4.9,1.492599698,11.1,1.795229737,0.442,-0.152754318,0.487,0.150998603,4.4,2.520873903,4.9,2.049265784,0.881,0.904090645,0.5,-0.445193803,3.2,0.420748415,3.6,0.107119043,2.3,0.273289049,0.8,0.388668971,0,-0.837274886,1.9,0.986114393,1.9,0.289374122,20,2.291882114
POR,Wesley Matthews,SG,60,0.550517799,60,1.50005919,33.7,1.548718294,5.6,1.363811686,12.5,1.376574929,0.448,0.212938462,2.9,3.457790598,7.4,3.163890316,2.7,0.230897941,5.1,0.076813976,0.534,0.697186376,0.563,0.884941709,1.8,0.399549866,2.4,0.412769188,0.752,0.276915008,0.6,-0.319675758,3.1,0.360601903,3.7,0.149979828,2.3,0.273289049,1.3,1.553602215,0.2,-0.367592895,1.4,0.341963811,2.2,0.698013067,15.9,1.521814571
CHO,Jason Maxiell,PF,61,0.58972864,0,-0.813647648,14.4,-0.565354613,1.3,-0.831919638,3.1,-0.854366733,0.422,-0.039757073,0,-0.963151343,0,-1.069804639,1.3,-0.572003178,3.1,-0.495991277,0.422,-0.337524034,0.422,-0.476715896,0.7,-0.49793338,1.2,-0.372749179,0.577,-0.573904655,1.4,0.684468601,1.9,-0.361156248,3.3,-0.021463312,0.3,-0.852018801,0.3,-0.776264272,0.7,0.806612083,0.5,-0.817507236,1.6,-0.119264823,3.3,-0.844734465
MIL,O.J. Mayo,SG,71,0.981837051,15,-0.235220938,23.9,0.475251222,4.2,0.648922418,9.9,0.759505959,0.422,-0.039757073,1.4,1.17109649,3.9,1.161467026,2.8,0.28824802,6,0.33457634,0.465,0.059730855,0.493,0.20894148,1.6,0.236371094,2,0.150929732,0.827,0.641552006,0.4,-0.570711848,2.2,-0.180716711,2.6,-0.321488806,2.8,0.554616012,0.8,0.388668971,0.3,-0.132751899,1.8,0.857284276,2.3,0.834226049,11.4,0.676618487
PHI,Luc Mbah a Moute,PF,67,0.824993687,61,1.538620971,28.6,0.990077266,3.7,0.393604822,9.5,0.664572271,0.395,-0.302171667,0.9,0.408865121,3,0.64655818,2.8,0.28824802,6.5,0.477777654,0.435,-0.217423719,0.443,-0.273915827,1.4,0.073192322,2.4,0.412769188,0.589,-0.515562735,1.2,0.433432512,3.7,0.721480978,4.9,0.664309246,1.6,-0.120568698,1.2,1.320615566,0.3,-0.132751899,1.5,0.470793927,1.6,-0.119264823,9.9,0.394886459
