Tm,Player,Pos,G,GS,MP,FG,FGA,FGPercent,3P,3PA,2P,2PA,2PPercent,eFGPercent,FT,FTA,FTPercent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
TOR,GreivisVasquez,PG,82,29,24.3,3.6,8.8,0.408,1.6,4.3,2,4.6,0.436,0.5,0.6,0.8,0.758,0.3,2.4,2.6,3.7,0.6,0.1,1.5,2.2,9.5
DAL,CharlieVillanueva,PF,64,1,10.6,2.3,5.7,0.414,1.3,3.5,1,2.2,0.475,0.529,0.3,0.5,0.571,0.5,1.9,2.3,0.3,0.2,0.3,0.4,1,6.3
CHO,NoahVonleh,PF,25,0,10.4,1.2,3,0.395,0.2,0.5,1,2.5,0.397,0.428,0.7,1,0.692,1.1,2.3,3.4,0.2,0.2,0.4,0.4,0.8,3.3
ORL,NikolaVucevic,C,74,74,34.2,8.5,16.3,0.523,0,0.1,8.5,16.2,0.524,0.524,2.2,2.9,0.752,3.2,7.7,10.9,2,0.7,0.7,2,3,19.3
MIA,DwyaneWade,SG,62,62,31.8,8.2,17.5,0.47,0.5,1.6,7.7,15.8,0.489,0.483,4.6,6,0.768,0.9,2.6,3.5,4.8,1.2,0.3,3.4,1.7,21.5
TOT,DionWaiters,SG,80,23,27.6,4.7,11.8,0.396,0.9,3.1,3.8,8.8,0.431,0.435,1.5,2.2,0.68,0.5,1.9,2.4,2,1.1,0.3,1.4,1.9,11.8
CLE,DionWaiters,SG,33,3,23.8,4.2,10.4,0.404,0.7,2.6,3.5,7.8,0.453,0.436,1.4,1.8,0.783,0.4,1.4,1.7,2.2,1.3,0.3,1.5,1.8,10.5
OKC,DionWaiters,SG,47,20,30.3,5,12.9,0.392,1.1,3.4,4,9.4,0.419,0.435,1.5,2.4,0.625,0.6,2.3,2.9,1.9,1,0.2,1.3,2,12.7
MIA,HenryWalker,SF,24,13,26.2,2.4,7,0.345,1.9,5.5,0.5,1.5,0.361,0.479,0.6,0.8,0.778,0.3,3.1,3.4,1.2,1,0.4,1,3.2,7.3
CHO,KembaWalker,PG,62,58,34.2,6.1,15.8,0.385,1.4,4.5,4.7,11.3,0.418,0.429,3.8,4.6,0.827,0.6,3,3.5,5.1,1.4,0.5,1.6,1.5,17.3
WAS,JohnWall,PG,79,79,35.9,6.6,14.8,0.445,0.8,2.7,5.7,12,0.478,0.473,3.6,4.6,0.785,0.5,4.2,4.6,10,1.7,0.6,3.8,2.3,17.6
BOS,GeraldWallace,SF,32,0,8.9,0.4,1.1,0.412,0,0.1,0.4,1,0.419,0.426,0.2,0.5,0.4,0.5,1.3,1.8,0.3,0.5,0.1,0.6,0.6,1.1
PHO,T.J.Warren,SF,40,1,15.4,2.8,5.4,0.528,0.1,0.5,2.7,4.8,0.56,0.54,0.4,0.5,0.737,1,1.1,2.1,0.6,0.5,0.2,0.7,1.3,6.1
IND,C.J.Watson,PG,57,21,24.9,3.2,7.3,0.434,1.2,3.1,1.9,4.2,0.459,0.518,2.4,2.9,0.826,0.3,2.5,2.9,3.6,1,0.2,1.8,1.9,10
SAC,DavidWear,PF,2,0,3.5,0,1,0,0,0.5,0,0.5,0,0,0,0,0,1,0,1,0.5,0,0,0,0.5,0
NYK,TravisWear,SF,51,1,13.2,1.6,4.1,0.402,0.2,0.6,1.4,3.5,0.408,0.428,0.4,0.5,0.769,0.6,1.5,2.1,0.8,0.3,0.2,0.7,1.1,3.9
WAS,MartellWebster,SF,32,0,11,0.8,2.8,0.264,0.3,1.3,0.4,1.5,0.292,0.319,1.5,2,0.75,0.3,1.1,1.4,0.5,0.2,0,0.7,0.8,3.3
IND,DavidWest,PF,66,66,28.7,4.9,10.4,0.471,0.1,0.3,4.8,10.1,0.479,0.474,1.8,2.4,0.739,1.6,5.2,6.8,3.4,0.7,0.7,1.8,2.4,11.7
OKC,RussellWestbrook,PG,67,67,34.4,9.4,22,0.426,1.3,4.3,8.1,17.7,0.457,0.455,8.1,9.8,0.835,1.9,5.4,7.3,8.6,2.1,0.2,4.4,2.7,28.1
MIA,HassanWhiteside,C,48,32,23.8,5.1,8.1,0.628,0,0,5.1,8.1,0.628,0.628,1.6,3.3,0.5,3,7,10,0.1,0.6,2.6,1.2,2.7,11.8
IND,ShayneWhittington,PF,20,0,5.4,1,2.1,0.452,0.1,0.3,0.9,1.8,0.5,0.464,0.9,1.2,0.783,0.5,1,1.5,0.3,0.3,0.1,0.3,0.9,2.9
MIN,AndrewWiggins,SG,82,82,36.2,6.1,13.9,0.437,0.5,1.5,5.6,12.3,0.453,0.454,4.3,5.7,0.76,1.6,2.9,4.6,2.1,1,0.6,2.2,2.3,16.9
LAC,C.J.Wilcox,SG,21,0,4.8,0.8,1.8,0.421,0.3,0.9,0.4,0.9,0.474,0.513,0.1,0.1,1,0,0.3,0.3,0.4,0.1,0,0.5,0.3,2
BRK,DeronWilliams,PG,68,55,31.1,4.4,11.3,0.387,1.3,3.5,3.1,7.9,0.395,0.443,3,3.5,0.834,0.4,3.1,3.5,6.6,0.9,0.3,2.3,2.3,13
SAC,DerrickWilliams,PF,74,6,19.8,2.9,6.6,0.447,0.7,2.1,2.3,4.4,0.511,0.498,1.8,2.6,0.684,0.6,2.2,2.7,0.7,0.5,0.1,0.8,0.9,8.3
TOT,ElliotWilliams,SG,13,0,9.2,1.1,2.8,0.378,0.6,1.4,0.5,1.5,0.316,0.486,0.1,0.3,0.25,0,0.6,0.6,0.9,0.3,0,0.3,0.9,2.8
UTA,ElliotWilliams,SG,5,0,8.4,1.2,2.6,0.462,1,1.4,0.2,1.2,0.167,0.654,0.2,0.4,0.5,0,0.6,0.6,0.8,0.4,0,0.8,0.2,3.6
NOP,ElliotWilliams,SG,8,0,9.6,1,3,0.333,0.4,1.4,0.6,1.6,0.385,0.396,0,0.3,0,0,0.6,0.6,1,0.3,0,0,1.4,2.4
TOR,LouWilliams,SG,80,0,25.2,4.7,11.6,0.404,1.9,5.6,2.8,6,0.464,0.486,4.3,4.9,0.861,0.3,1.6,1.9,2.1,1.1,0.1,1.3,1.3,15.5
CHO,MarvinWilliams,PF,78,37,26.1,2.7,6.3,0.424,1.2,3.4,1.5,2.9,0.5,0.52,0.8,1.1,0.713,0.7,4.2,4.9,1.3,0.9,0.5,0.8,1.9,7.4
TOT,MoWilliams,PG,68,33,29.1,5,12.6,0.397,1.8,5.1,3.3,7.5,0.434,0.466,2.4,2.8,0.872,0.3,2.2,2.6,6.2,0.7,0.2,2.5,2.4,14.2
MIN,MoWilliams,PG,41,19,28,4.4,10.9,0.403,1.4,4.1,3,6.8,0.437,0.469,2,2.3,0.851,0.3,2.1,2.4,6.4,0.7,0.2,2.5,2.5,12.2
CHO,MoWilliams,PG,27,14,30.8,6,15.3,0.39,2.2,6.6,3.7,8.7,0.43,0.462,3.1,3.4,0.892,0.3,2.5,2.8,6,0.6,0.2,2.6,2.2,17.2
SAS,ReggieWilliams,SF,20,0,5.3,0.8,2,0.385,0.2,1,0.6,1,0.6,0.423,0.2,0.2,1,0.3,0.6,0.9,0.5,0.1,0,0.1,0.6,1.9
TOT,ShawneWilliams,SF,63,22,17.3,1.9,4.8,0.403,1,2.8,0.9,1.9,0.467,0.51,0.6,0.6,0.875,0.6,2.1,2.6,0.7,0.4,0.3,0.5,2.1,5.4
MIA,ShawneWilliams,SF,44,22,21,2.3,5.5,0.425,1.4,3.5,1,2,0.477,0.55,0.6,0.8,0.848,0.6,2.5,3.2,0.8,0.5,0.4,0.5,2.6,6.6
DET,ShawneWilliams,SF,19,0,8.6,1,3.2,0.317,0.2,1.4,0.8,1.8,0.441,0.35,0.4,0.4,1,0.5,0.9,1.4,0.4,0.2,0.2,0.4,1,2.6
NOP,JeffWithey,C,37,0,7,0.9,1.7,0.5,0,0,0.9,1.7,0.5,0.5,0.9,1.4,0.68,0.6,1.1,1.7,0.3,0.1,0.5,0.3,0.7,2.6
TOT,NateWolters,PG,21,0,11.8,1,2.7,0.351,0,0.3,1,2.4,0.4,0.351,0.1,0.3,0.333,0.4,1.2,1.6,1,0.4,0.1,0.6,0.9,2
MIL,NateWolters,PG,11,0,12.9,1.1,2.8,0.387,0,0.5,1.1,2.4,0.462,0.387,0.1,0.4,0.25,0.2,1.3,1.5,0.9,0.5,0,0.3,1,2.3
NOP,NateWolters,PG,10,0,10.5,0.8,2.6,0.308,0,0.2,0.8,2.4,0.333,0.308,0.1,0.2,0.5,0.6,1.2,1.8,1.1,0.3,0.2,1,0.7,1.7
TOT,BrandanWright,PF,75,7,19.3,3.1,4.8,0.642,0,0,3.1,4.8,0.647,0.642,1,1.5,0.696,1.7,2.6,4.3,0.5,0.7,1.3,0.5,1.4,7.3
DAL,BrandanWright,PF,27,0,18.7,3.7,5,0.748,0,0,3.7,5,0.748,0.748,1.3,1.8,0.75,1.9,2.2,4.1,0.4,0.6,1.6,0.5,1.6,8.8
BOS,BrandanWright,PF,8,0,10.8,1.5,2.6,0.571,0,0,1.5,2.6,0.571,0.571,0.3,0.5,0.5,0.9,1.3,2.1,1,0.1,0.6,0.6,0.5,3.3
PHO,BrandanWright,PF,40,7,21.5,3,5.2,0.58,0,0.1,3,5.1,0.588,0.58,1,1.5,0.667,1.8,3.1,4.9,0.6,0.8,1.2,0.4,1.4,7
POR,DorellWright,SF,48,2,12.3,1.5,4,0.379,0.9,2.3,0.6,1.7,0.378,0.487,0.7,0.9,0.81,0.3,2,2.3,0.9,0.4,0.2,0.4,1.1,4.6
PHI,TonyWroten,SG,30,15,29.8,5.8,14.5,0.403,1.2,4.7,4.6,9.7,0.473,0.446,4,6,0.667,0.7,2.1,2.9,5.2,1.6,0.3,3.8,2.4,16.9
BOS,JamesYoung,SG,31,0,10.7,1.2,3.3,0.353,0.5,2.1,0.6,1.2,0.528,0.436,0.5,0.9,0.552,0.3,1.1,1.4,0.4,0.3,0.1,0.2,0.7,3.4
LAL,NickYoung,SG,42,0,23.8,4.1,11.3,0.366,2,5.4,2.2,6,0.363,0.453,3.1,3.5,0.892,0.4,1.9,2.3,1,0.5,0.3,1,2,13.4
TOT,ThaddeusYoung,PF,76,68,32,5.9,12.7,0.466,0.5,1.5,5.4,11.2,0.484,0.486,1.7,2.6,0.655,1.7,3.7,5.4,2.3,1.6,0.3,1.5,2.3,14.1
MIN,ThaddeusYoung,PF,48,48,33.4,6,13.4,0.451,0.4,1.4,5.6,12,0.469,0.466,1.8,2.7,0.682,1.6,3.5,5.1,2.8,1.8,0.4,1.6,2.4,14.3
BRK,ThaddeusYoung,PF,28,20,29.6,5.8,11.7,0.495,0.7,1.8,5.1,9.9,0.516,0.524,1.5,2.5,0.606,1.9,4.1,5.9,1.4,1.4,0.3,1.5,2,13.8
CHO,CodyZeller,C,62,45,24,2.8,6,0.461,0,0,2.8,6,0.46,0.462,2,2.6,0.774,1.6,4.3,5.8,1.6,0.5,0.8,1,2.5,7.6
BOS,TylerZeller,C,82,59,21.1,4.1,7.5,0.549,0,0,4.1,7.5,0.549,0.549,1.9,2.3,0.823,1.8,3.9,5.7,1.4,0.2,0.6,0.9,2.5,10.2
