Tm,Player,Pos,G,GS,MP,FG,FGA,FGPercent,3P,3PA,2P,2PA,2PPercent,eFGPercent,FT,FTA,FTPercent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
MIN,AnthonyBennett,PF,57,3,15.7,2.2,5.2,0.421,0.1,0.4,2.1,4.8,0.431,0.433,0.7,1.1,0.641,0.9,2.9,3.8,0.8,0.5,0.3,0.6,1.5,5.2
HOU,PatrickBeverley,PG,56,55,30.8,3.6,9.5,0.383,2.1,5.8,1.6,3.7,0.426,0.492,0.8,1.1,0.75,1.2,3,4.2,3.4,1.1,0.4,1.5,3.3,10.1
SAC,SimBhullar,C,3,0,1,0.3,0.7,0.5,0,0,0.3,0.7,0.5,0.5,0,0,0,0,0.3,0.3,0.3,0,0.3,0,0,0.7
CHO,BismackBiyombo,C,64,21,19.4,1.6,2.9,0.543,0,0,1.6,2.9,0.543,0.543,1.6,2.7,0.583,2.5,3.9,6.4,0.3,0.3,1.5,0.8,2.2,4.8
TOT,TarikBlack,C,63,39,19,2.5,4.3,0.575,0,0,2.5,4.3,0.577,0.575,1,1.9,0.551,2.3,3.6,5.8,0.7,0.3,0.4,0.8,2.5,6
HOU,TarikBlack,C,25,12,15.7,1.8,3.3,0.542,0,0,1.8,3.3,0.549,0.542,0.6,1.2,0.517,2.3,2.8,5.1,0.3,0.2,0.1,0.8,2.2,4.2
LAL,TarikBlack,C,38,27,21.1,2.9,5,0.589,0,0,2.9,5,0.589,0.589,1.3,2.3,0.562,2.2,4.1,6.3,0.9,0.3,0.6,0.8,2.7,7.2
WAS,DeJuanBlair,PF,29,0,6.2,0.9,2,0.456,0,0,0.9,2,0.456,0.456,0.1,0.2,0.667,0.6,1.4,1.9,0.1,0.2,0,0.4,1.4,1.9
POR,SteveBlake,PG,81,0,18.9,1.5,4,0.373,1,2.7,0.6,1.3,0.417,0.491,0.4,0.5,0.707,0.2,1.5,1.7,3.6,0.5,0.1,1.3,1.5,4.3
PHO,EricBledsoe,PG,81,81,34.6,5.8,12.9,0.447,1.1,3.4,4.7,9.6,0.491,0.489,4.4,5.4,0.8,0.9,4.3,5.2,6.1,1.6,0.6,3.4,2.3,17
LAL,VanderBlue,SG,2,1,37,4.5,15,0.3,1,5,3.5,10,0.35,0.333,1,2.5,0.4,1,3.5,4.5,4,1.5,0,3,2,11
BRK,BojanBogdanovic,SF,78,28,23.8,3.3,7.4,0.453,1.2,3.3,2.2,4.1,0.531,0.532,1.1,1.4,0.821,0.6,2.1,2.7,0.9,0.4,0.1,1,1.3,9
GSW,AndrewBogut,C,67,65,23.6,3,5.3,0.563,0,0,3,5.3,0.563,0.563,0.3,0.6,0.524,2.1,6,8.1,2.7,0.6,1.7,1.6,2.8,6.3
SAS,MattBonner,PF,72,19,13,1.3,3.2,0.409,0.6,1.8,0.7,1.4,0.462,0.509,0.4,0.5,0.811,0.4,1.2,1.6,0.7,0.1,0.2,0.2,0.9,3.7
UTA,TrevorBooker,PF,79,5,19.8,2.9,5.9,0.487,0.4,1.1,2.5,4.8,0.518,0.518,1.1,1.9,0.581,1.8,3.3,5,1.1,0.5,0.5,1.1,1.8,7.2
LAL,CarlosBoozer,PF,71,26,23.8,5.2,10.5,0.499,0,0,5.2,10.5,0.499,0.499,1.3,2.1,0.627,1.6,5.2,6.8,1.3,0.6,0.2,1.3,2.6,11.8
MIA,ChrisBosh,C,44,44,35.4,7.8,16.9,0.46,1.4,3.8,6.4,13.1,0.485,0.503,4.1,5.3,0.772,1,6,7,2.2,0.9,0.6,2.2,1.6,21.1
BOS,AveryBradley,SG,77,77,31.5,5.6,13.1,0.429,1.6,4.6,4,8.6,0.47,0.49,1,1.3,0.79,0.6,2.5,3.1,1.8,1.1,0.2,1.4,2.3,13.9
ATL,EltonBrand,PF,36,4,13.5,1.2,2.6,0.442,0,0,1.2,2.6,0.447,0.442,0.3,0.6,0.522,0.8,2,2.8,0.6,0.5,0.7,0.5,1.5,2.7
TOT,CoreyBrewer,SF,80,17,26.1,4.3,10.1,0.426,0.8,2.9,3.5,7.1,0.491,0.465,2.1,2.8,0.743,1,2.7,3.7,2.2,1.4,0.2,1.6,2.2,11.5
MIN,CoreyBrewer,SF,24,16,28.3,3.9,9.4,0.418,0.3,1.7,3.6,7.7,0.467,0.436,2.3,3.3,0.705,1.3,2.6,3.9,3.3,2.3,0.2,2.1,2.6,10.5
HOU,CoreyBrewer,SF,56,1,25.1,4.4,10.4,0.429,1,3.5,3.5,6.9,0.503,0.477,2,2.6,0.764,0.9,2.8,3.6,1.7,1.1,0.3,1.4,2,11.9
CHI,AaronBrooks,PG,82,21,23,4.2,10,0.421,1.5,3.8,2.7,6.1,0.442,0.495,1.8,2.1,0.833,0.4,1.6,2,3.2,0.7,0.2,1.9,2.3,11.6
LAL,JabariBrown,SG,19,5,29.9,3.7,8.9,0.412,1.2,3.3,2.5,5.7,0.435,0.479,3.4,4.5,0.753,0.2,1.7,1.9,2.1,0.6,0.1,1.7,1.7,11.9
MIN,LorenzoBrown,PG,29,7,18.9,1.8,4.2,0.426,0.2,1,1.6,3.2,0.489,0.451,0.4,0.7,0.632,0.5,1.9,2.4,3.1,1,0.2,1,1.7,4.2
BRK,MarkelBrown,SG,47,29,16.6,1.6,4.5,0.362,0.4,1.4,1.3,3.1,0.404,0.402,1,1.2,0.825,0.3,1.9,2.3,0.8,0.7,0.3,0.6,1.2,4.6
MIA,ShannonBrown,SG,5,2,17.8,1.4,3.8,0.368,0.6,1.4,0.8,2.4,0.333,0.447,0.6,0.8,0.75,0,0.2,0.2,0.6,0.8,0,0.8,1.6,4
LAL,KobeBryant,SG,35,35,34.5,7.6,20.4,0.373,1.5,5.3,6.1,15.1,0.401,0.411,5.6,6.9,0.813,0.7,4.9,5.7,5.6,1.3,0.2,3.7,1.9,22.3
MIN,ChaseBudinger,SF,67,4,19.2,2.5,5.8,0.433,0.8,2.1,1.7,3.7,0.474,0.5,1,1.2,0.827,0.5,2.5,3,1,0.7,0.1,0.7,1.1,6.8
TOT,ReggieBullock,SF,36,2,9.4,0.7,1.9,0.343,0.4,1.3,0.3,0.7,0.375,0.45,0.2,0.3,0.667,0,1.4,1.4,0.2,0.3,0.1,0.2,0.5,1.9
LAC,ReggieBullock,SF,25,2,10.5,0.9,2.2,0.426,0.6,1.6,0.3,0.6,0.533,0.565,0.2,0.2,0.8,0,1.6,1.6,0.2,0.4,0.1,0.2,0.7,2.6
PHO,ReggieBullock,SF,11,0,6.8,0.1,1.5,0.063,0,0.6,0.1,0.8,0.111,0.063,0.2,0.4,0.5,0.1,0.8,0.9,0.2,0.1,0.2,0.2,0.2,0.4
UTA,TreyBurke,PG,76,43,30.1,4.9,13.2,0.368,1.6,5.1,3.2,8.1,0.4,0.43,1.4,1.9,0.752,0.4,2.3,2.7,4.3,0.9,0.2,1.6,1.6,12.8
UTA,AlecBurks,SG,27,27,33.3,4.5,11.1,0.403,1,2.5,3.5,8.6,0.409,0.447,3.9,4.8,0.822,0.7,3.5,4.2,3,0.6,0.2,1.9,2.4,13.9
DET,CaronButler,SF,78,21,20.8,2.1,5.1,0.407,1.1,2.8,1,2.3,0.441,0.511,0.7,0.8,0.902,0.3,2.2,2.5,1,0.6,0.1,0.6,1.5,5.9
CHI,JimmyButler,SG,65,65,38.7,6.5,14,0.462,1.1,3,5.4,11.1,0.484,0.502,5.9,7.1,0.834,1.8,4.1,5.8,3.3,1.8,0.6,1.4,1.7,20
WAS,RasualButler,SF,75,1,20.1,2.9,6.9,0.422,1.2,3.1,1.7,3.8,0.45,0.51,0.7,0.9,0.791,0.4,2.3,2.6,0.8,0.4,0.3,0.6,1.3,7.7
LAL,DwightBuycks,PG,6,0,20.5,3,6.7,0.45,1.2,1.8,1.8,4.8,0.379,0.538,1.5,1.7,0.9,0.3,1.7,2,2.3,0.5,0,2,0.5,8.7
WAS,WillBynum,SG,7,0,9.6,1.4,4.4,0.323,0,1.3,1.4,3.1,0.455,0.323,0.3,0.6,0.5,0.3,0.6,0.9,2.6,0.1,0.1,1.1,1.3,3.1
TOR,BrunoCaboclo,SF,8,0,2.9,0.5,1.5,0.333,0.3,0.4,0.3,1.1,0.222,0.417,0,0,0,0.1,0.1,0.3,0,0,0.1,0.5,0.4,1.3
MEM,NickCalathes,SG,58,0,14.4,1.8,4.3,0.421,0.2,0.7,1.6,3.5,0.456,0.443,0.4,0.8,0.533,0.3,1.5,1.8,2.5,1.1,0.1,1.1,1.7,4.2
NYK,JoseCalderon,PG,42,42,30.2,3.5,8.4,0.415,1.4,3.4,2.1,5,0.415,0.499,0.7,0.8,0.906,0.5,2.5,3,4.7,0.7,0,1.8,1.8,9.1
DET,KentaviousCaldwell-Pope,SG,82,82,31.5,4.8,11.9,0.401,1.9,5.4,2.9,6.4,0.449,0.48,1.3,1.9,0.696,0.6,2.5,3.1,1.3,1.1,0.2,1.1,2,12.7
TOT,IsaiahCanaan,PG,47,21,20,3.1,8,0.386,1.9,5.2,1.2,2.8,0.417,0.507,1,1.3,0.817,0.4,1.5,1.9,2.1,0.6,0.1,1.3,1.8,9.2
HOU,IsaiahCanaan,PG,25,9,14.8,2.1,5.2,0.405,1.3,3.4,0.8,1.9,0.447,0.527,0.6,0.8,0.762,0.4,0.9,1.3,1.2,0.6,0,0.9,1.1,6.2
PHI,IsaiahCanaan,PG,22,12,25.9,4.2,11.2,0.377,2.7,7.4,1.5,3.9,0.4,0.496,1.5,1.8,0.846,0.3,2.1,2.5,3.1,0.7,0.1,1.8,2.5,12.6
HOU,ClintCapela,C,12,0,7.5,1.2,2.4,0.483,0,0,1.2,2.4,0.483,0.483,0.3,1.9,0.174,0.8,2.2,3,0.2,0.1,0.8,0.4,1.2,2.7
ATL,DeMarreCarroll,SF,70,69,31.3,4.5,9.3,0.487,1.7,4.3,2.8,5,0.567,0.579,1.8,2.6,0.702,1.4,3.9,5.3,1.7,1.3,0.2,1.1,2.2,12.6
MEM,VinceCarter,SG,66,1,16.5,2,6.2,0.333,1,3.5,1,2.6,0.379,0.417,0.7,0.9,0.789,0.4,1.6,2,1.2,0.7,0.2,0.7,1.5,5.8
TOT,MichaelCarter-Williams,PG,66,63,32.6,5.5,13.9,0.396,0.5,2.3,5,11.6,0.428,0.416,3.1,4.4,0.694,1,4.4,5.3,6.7,1.7,0.5,3.8,2.5,14.6
PHI,MichaelCarter-Williams,PG,41,38,33.9,5.7,14.9,0.38,0.8,3,4.9,11.9,0.412,0.406,2.9,4.4,0.643,1,5.1,6.2,7.4,1.5,0.4,4.2,2.5,15
MIL,MichaelCarter-Williams,PG,25,25,30.3,5.3,12.3,0.429,0.2,1.1,5.1,11.2,0.457,0.435,3.4,4.4,0.78,0.8,3.1,4,5.6,2,0.5,3.2,2.6,14.1
SAC,OmriCasspi,SF,67,19,21.1,3.1,6.4,0.489,0.5,1.3,2.6,5.1,0.512,0.53,2.1,2.9,0.733,0.8,3.1,3.9,1.5,0.5,0.1,1.3,1.6,8.9
MIA,MarioChalmers,PG,80,37,29.6,3.3,8.3,0.403,0.9,3.1,2.4,5.2,0.467,0.458,2.6,3.3,0.774,0.3,2.3,2.6,3.8,1.5,0.1,2.2,3.1,10.2
DAL,TysonChandler,C,75,75,30.5,3.9,5.9,0.666,0,0,3.9,5.9,0.666,0.666,2.5,3.4,0.72,3.9,7.6,11.5,1.1,0.6,1.2,1.4,2.3,10.3
DEN,WilsonChandler,SF,78,75,31.7,5.4,12.5,0.429,1.8,5.2,3.6,7.3,0.49,0.5,1.4,1.8,0.775,1.2,4.9,6.1,1.7,0.7,0.4,1.4,3,13.9
CLE,WillCherry,PG,8,0,8.6,0.6,2.4,0.263,0.3,1.1,0.4,1.3,0.3,0.316,0.4,0.8,0.5,0.1,0.5,0.6,1,0.8,0.1,0.5,1.3,1.9
UTA,PatrickChristopher,SG,4,1,7.3,0.8,3,0.25,0,1,0.8,2,0.375,0.25,0,0,0,0.5,1,1.5,0,0.3,0,0.3,1.5,1.5
BRK,EarlClark,PF,10,0,9.3,1.1,3,0.367,0.4,1.4,0.7,1.6,0.438,0.433,0.1,0.4,0.25,0.1,2.2,2.3,0.3,0.3,0.4,0.6,1.2,2.7
TOT,IanClark,SG,30,0,6.4,0.6,1.8,0.345,0.3,1,0.3,0.8,0.36,0.436,0.3,0.3,1,0.1,0.4,0.5,0.4,0.3,0.1,0.3,0.7,1.9
UTA,IanClark,SG,23,0,7,0.7,1.9,0.341,0.4,1.1,0.3,0.8,0.316,0.443,0.2,0.2,1,0.2,0.4,0.6,0.4,0.3,0.1,0.3,0.5,1.9
DEN,IanClark,SG,7,0,4.4,0.6,1.6,0.364,0.1,0.7,0.4,0.9,0.5,0.409,0.6,0.6,1,0,0.4,0.4,0.3,0.4,0.1,0.3,1.1,1.9
LAL,JordanClarkson,PG,59,38,25,4.5,10.1,0.448,0.6,2.1,3.9,8.1,0.482,0.48,2.2,2.7,0.829,0.9,2.3,3.2,3.5,0.9,0.2,1.6,1.8,11.9
POR,VictorClaver,SF,10,0,7.6,0.9,2,0.45,0.6,1.1,0.3,0.9,0.333,0.6,0,0,0,0.3,1.7,2,0.1,0.1,0.1,0.4,1.2,2.4
TOT,NorrisCole,PG,75,25,24.4,3.1,7.4,0.412,0.7,2.3,2.3,5.1,0.458,0.461,0.8,1.1,0.716,0.2,1.9,2.1,3.4,0.8,0.2,1.3,1.7,7.6
MIA,NorrisCole,PG,47,23,24.4,2.5,6.5,0.386,0.6,2.2,1.9,4.3,0.446,0.43,0.7,1,0.696,0.3,2,2.3,3.5,0.9,0.2,1.2,1.6,6.3
NOP,NorrisCole,PG,28,2,24.4,4,9,0.444,1,2.6,3,6.4,0.472,0.5,0.9,1.3,0.743,0,1.8,1.8,3.2,0.5,0.3,1.5,1.8,9.9
SAC,DarrenCollison,PG,45,45,34.8,5.8,12.2,0.473,1.3,3.6,4.4,8.6,0.514,0.527,3.2,4.1,0.788,0.4,2.8,3.2,5.6,1.5,0.3,2.5,2.1,16.1
OKC,NickCollison,PF,66,2,16.7,1.6,3.8,0.419,0.2,0.9,1.4,2.9,0.466,0.451,0.7,1,0.692,1.4,2.4,3.8,1.4,0.5,0.4,0.7,2.4,4.1
MEM,MikeConley,PG,70,70,31.8,5.6,12.6,0.446,1.5,4,4.1,8.6,0.473,0.506,3.1,3.6,0.859,0.4,2.6,3,5.4,1.3,0.2,2.2,2,15.8
UTA,JackCooley,PF,16,0,5.4,0.6,1.4,0.409,0,0,0.6,1.4,0.409,0.409,0.6,1.3,0.429,0.6,0.9,1.6,0.1,0.4,0.2,0.2,1.4,1.7
IND,ChrisCopeland,SF,50,12,16.6,2.2,6.2,0.361,1,3.3,1.2,2.9,0.42,0.445,0.7,0.9,0.733,0.5,1.8,2.2,1,0.2,0.2,1.2,1.6,6.2
UTA,BryceCotton,PG,15,0,10.6,1.9,4.6,0.42,0.5,1.3,1.5,3.3,0.449,0.471,1,1.2,0.833,0.2,1,1.2,1,0.3,0,0.8,0.4,5.3
SAC,DeMarcusCousins,C,59,59,34.1,8.4,18.1,0.467,0,0.1,8.4,17.9,0.469,0.468,7.2,9.2,0.782,3.1,9.5,12.7,3.6,1.5,1.7,4.3,4.1,24.1
PHI,RobertCovington,SF,70,49,27.9,4.3,10.8,0.396,2.4,6.4,1.9,4.4,0.426,0.506,2.5,3.1,0.82,0.9,3.6,4.5,1.5,1.4,0.4,1.8,2.7,13.5
POR,AllenCrabbe,SG,51,9,13.4,1.2,3,0.412,0.6,1.7,0.6,1.3,0.485,0.51,0.2,0.3,0.75,0.1,1.3,1.4,0.8,0.4,0.3,0.3,1.5,3.3
LAC,JamalCrawford,SG,64,4,26.6,5.2,13.1,0.396,1.9,5.7,3.3,7.4,0.448,0.467,3.5,3.9,0.901,0.3,1.7,1.9,2.5,0.9,0.2,1.4,1.7,15.8
TOT,JaeCrowder,SF,82,17,20.1,2.8,6.6,0.42,0.7,2.5,2,4.1,0.499,0.476,1.3,1.7,0.773,0.9,2.7,3.6,1.1,0.9,0.3,0.6,1.7,7.7
DAL,JaeCrowder,SF,25,0,10.6,1.3,3,0.434,0.5,1.5,0.8,1.5,0.526,0.52,0.4,0.4,0.909,0.5,0.7,1.2,0.5,0.6,0.2,0.4,1,3.6
BOS,JaeCrowder,SF,57,17,24.2,3.4,8.2,0.418,0.8,3,2.6,5.2,0.495,0.469,1.7,2.3,0.762,1.1,3.6,4.6,1.4,1,0.4,0.7,1.9,9.5
NOP,DanteCunningham,PF,66,27,25,2.3,5.1,0.457,0,0.2,2.3,5,0.468,0.459,0.4,0.7,0.617,1.1,2.8,3.9,0.8,0.7,0.6,0.5,1.5,5.2
LAC,JaredCunningham,SG,19,0,4.7,0.6,1.7,0.364,0.2,0.7,0.4,1.1,0.4,0.424,0.4,0.7,0.538,0.1,0.4,0.5,0.5,0.2,0,0.4,0.6,1.8
PHO,SethCurry,PG,2,0,4,0,1.5,0,0,0.5,0,1,0,0,0,0,0,0,1,1,0.5,0,0,0,1,0
GSW,StephenCurry,PG,80,80,32.7,8.2,16.8,0.487,3.6,8.1,4.6,8.7,0.528,0.594,3.9,4.2,0.914,0.7,3.6,4.3,7.7,2,0.2,3.1,2,23.8
NYK,SamuelDalembert,C,32,21,17,1.8,4.1,0.438,0,0,1.8,4.1,0.438,0.438,0.4,0.6,0.7,1.7,3.6,5.3,0.9,0.4,1.3,1.2,2.2,4
TOT,TroyDaniels,SG,47,0,8.4,1.3,3.5,0.37,0.9,2.5,0.4,1,0.383,0.5,0.2,0.3,0.846,0.2,0.5,0.7,0.5,0.1,0,0.4,0.9,3.7
HOU,TroyDaniels,SG,17,0,6.4,0.9,2.8,0.319,0.8,2.5,0.1,0.2,0.5,0.457,0.2,0.2,0.75,0,0.4,0.4,0.2,0,0,0.3,0.8,2.7
MIN,TroyDaniels,SG,19,0,8.1,1,3.1,0.322,0.7,2.1,0.3,1.1,0.3,0.432,0.1,0.1,1,0.3,0.7,1,0.7,0.2,0,0.4,0.7,2.8
CHO,TroyDaniels,SG,11,0,12.3,2.5,5.4,0.458,1.5,3.3,0.9,2.1,0.435,0.602,0.5,0.6,0.857,0.2,0.5,0.7,0.5,0.3,0.1,0.6,1.1,7
TOT,LuigiDatome,SF,21,1,10,2,4.2,0.483,0.9,1.9,1.2,2.3,0.51,0.584,0,0,1,0.1,1.2,1.4,0.4,0.1,0.3,0.4,0.7,5
DET,LuigiDatome,SF,3,0,5.7,1.7,4,0.417,0.3,1.3,1.3,2.7,0.5,0.458,0,0,0,0.3,1,1.3,0.7,0.3,0,0.7,0.3,3.7
BOS,LuigiDatome,SF,18,1,10.7,2.1,4.3,0.494,0.9,2,1.2,2.3,0.512,0.604,0.1,0.1,1,0.1,1.3,1.4,0.4,0.1,0.4,0.4,0.8,5.2
TOT,BrandonDavies,PF,27,6,15.7,2,5.1,0.401,0.3,1.3,1.7,3.8,0.456,0.431,0.9,1.4,0.649,1.4,1.7,3.1,1.1,0.7,0.3,1.1,2.2,5.3
PHI,BrandonDavies,PF,20,6,19,2.5,6,0.412,0.4,1.5,2.1,4.5,0.472,0.441,1.1,1.7,0.636,1.8,1.9,3.7,1.4,0.9,0.2,1.3,2.7,6.3
BRK,BrandonDavies,PF,7,0,6.3,0.9,2.6,0.333,0.1,0.6,0.7,2,0.357,0.361,0.4,0.6,0.75,0.4,1,1.4,0.3,0.1,0.4,0.6,0.7,2.3
NOP,AnthonyDavis,PF,68,68,36.1,9.4,17.6,0.535,0,0.2,9.4,17.5,0.54,0.536,5.5,6.8,0.805,2.5,7.7,10.2,2.2,1.5,2.9,1.4,2.1,24.4
LAL,EdDavis,PF,79,24,23.3,3.6,5.9,0.601,0,0,3.6,5.9,0.601,0.601,1.2,2.4,0.487,2.9,4.7,7.6,1.2,0.6,1.2,0.7,2.6,8.3
LAC,GlenDavis,PF,74,0,12.2,1.6,3.4,0.459,0,0.1,1.6,3.4,0.466,0.459,0.8,1.3,0.632,0.6,1.7,2.3,0.5,0.6,0.3,0.5,1.8,4
MIA,AndreDawkins,SG,4,0,5.5,0.3,1.5,0.167,0.3,1.5,0,0,0,0.25,0,0,0,0,0.5,0.5,0.3,0,0,0.3,0.8,0.8
TOT,AustinDaye,SF,34,4,10.1,1.5,4.1,0.355,0.7,2.1,0.8,2.1,0.371,0.44,0.1,0.2,0.833,0.3,1.9,2.2,0.5,0.4,0.1,0.7,1.1,3.8
SAS,AustinDaye,SF,26,4,10.3,1.5,4.4,0.348,0.7,2.2,0.8,2.2,0.362,0.43,0.2,0.2,1,0.2,2.1,2.3,0.3,0.3,0.1,0.7,1.2,4
ATL,AustinDaye,SF,8,0,9.5,1.3,3.3,0.385,0.6,1.8,0.6,1.5,0.417,0.481,0.1,0.3,0.5,0.5,1.3,1.8,1,0.5,0.3,0.6,1.1,3.3
ORL,DewayneDedmon,C,59,15,14.3,1.5,2.7,0.562,0,0,1.5,2.7,0.565,0.562,0.6,1.1,0.531,2,3,5,0.2,0.3,0.8,0.9,2.4,3.7
CLE,MatthewDellavedova,SG,67,13,20.6,1.7,4.6,0.362,1,2.5,0.6,2.1,0.307,0.472,0.4,0.6,0.763,0.6,1.3,1.9,3,0.4,0,0.9,2.3,4.8
MIA,LuolDeng,SF,72,72,33.6,5.1,10.9,0.469,1.1,3.1,4,7.9,0.513,0.518,2.7,3.5,0.761,1.4,3.8,5.2,1.9,0.9,0.3,1.5,1.5,14
TOR,DeMarDeRozan,SG,60,60,35,6.8,16.5,0.413,0.4,1.5,6.4,15,0.426,0.426,6,7.2,0.832,0.7,3.9,4.6,3.5,1.2,0.2,2.3,2,20.1
SAS,BorisDiaw,PF,81,15,24.5,3.6,7.8,0.46,0.7,2.1,2.9,5.7,0.512,0.503,0.9,1.1,0.774,1,3.3,4.3,2.9,0.4,0.3,1.6,1.8,8.7
MIN,GorguiDieng,C,73,49,30,3.5,7,0.506,0,0.1,3.5,6.9,0.51,0.507,2.6,3.3,0.783,3.1,5.3,8.3,2,1,1.7,1.7,2.6,9.7
DET,SpencerDinwiddie,PG,34,1,13.4,1.5,5,0.302,0.4,1.9,1.1,3.1,0.375,0.337,0.9,1,0.912,0.1,1.3,1.4,3.1,0.6,0.2,1,1.6,4.3
HOU,JoeyDorsey,PF,69,17,12.4,1.2,2.1,0.552,0,0,1.2,2.1,0.556,0.552,0.3,1.2,0.289,1.5,2.6,4,0.4,0.6,0.4,0.6,2.3,2.7
NOP,ToneyDouglas,PG,12,0,14.8,1.6,4.3,0.373,0.4,1.5,1.2,2.8,0.424,0.422,0.7,1.1,0.615,0.2,1.7,1.8,2,0.9,0.3,0.8,1.7,4.3
LAC,ChrisDouglas-Roberts,SG,12,0,8.6,0.4,1.8,0.238,0.1,0.6,0.3,1.2,0.286,0.262,0.7,0.7,1,0.1,0.9,1,0.3,0.1,0,0,1.2,1.6
TOT,GoranDragic,PG,78,78,33.8,6.4,12.8,0.501,1.2,3.3,5.3,9.5,0.555,0.546,2.3,3,0.774,1,2.5,3.5,4.5,1,0.2,2.2,2.5,16.3
PHO,GoranDragic,PG,52,52,33.4,6.5,13.1,0.501,1.3,3.6,5.3,9.5,0.556,0.549,1.9,2.5,0.746,1,2.6,3.6,4.1,1,0.2,2.2,2.3,16.2
MIA,GoranDragic,PG,26,26,34.8,6.2,12.4,0.502,0.9,2.8,5.3,9.6,0.552,0.539,3.2,4,0.808,1.2,2.3,3.4,5.3,1.1,0.2,2.3,2.9,16.6
TOT,ZoranDragic,SG,16,1,4.7,0.7,1.9,0.367,0.2,0.9,0.5,1,0.5,0.417,0.2,0.3,0.6,0.3,0.2,0.5,0.3,0.1,0,0.3,0.4,1.8
PHO,ZoranDragic,SG,6,0,2.2,0.3,1.3,0.25,0,0.8,0.3,0.5,0.667,0.25,0.3,0.5,0.667,0.3,0.2,0.5,0.2,0,0,0,0.2,1
MIA,ZoranDragic,SG,10,1,6.2,0.9,2.2,0.409,0.3,0.9,0.6,1.3,0.462,0.477,0.1,0.2,0.5,0.3,0.2,0.5,0.4,0.2,0,0.5,0.5,2.2
PHI,LarryDrew,PG,12,1,18.3,1.7,4.8,0.345,0.3,2.2,1.3,2.7,0.5,0.379,0.2,0.3,0.667,0.1,1.2,1.3,3.8,0.5,0,2.1,1.1,3.8
DET,AndreDrummond,C,82,82,30.5,6,11.7,0.514,0,0,6,11.7,0.515,0.514,1.7,4.5,0.389,5.3,8.1,13.5,0.7,0.9,1.9,1.5,3.5,13.8
MIL,JaredDudley,SG,72,22,23.8,2.8,5.9,0.468,1,2.7,1.7,3.2,0.537,0.556,0.7,0.9,0.716,0.6,2.4,3.1,1.8,1,0.2,0.9,1.6,7.2
SAS,TimDuncan,PF,77,77,28.9,5.4,10.6,0.512,0,0.1,5.4,10.5,0.514,0.513,3,4,0.74,2.2,6.9,9.1,3,0.8,2,1.7,2.1,13.9
CHI,MikeDunleavy,SF,63,63,29.2,3.3,7.6,0.435,1.7,4.2,1.6,3.5,0.468,0.546,1.1,1.4,0.805,0.4,3.5,3.9,1.8,0.6,0.3,1,2,9.4
OKC,KevinDurant,SF,27,27,33.8,8.8,17.3,0.51,2.4,5.9,6.4,11.4,0.565,0.578,5.4,6.3,0.854,0.6,6,6.6,4.1,0.9,0.9,2.7,1.5,25.4
NYK,CleanthonyEarly,SF,39,7,16.6,1.9,5.5,0.355,0.6,2.2,1.4,3.3,0.415,0.407,0.9,1.2,0.75,0.6,1.9,2.5,0.9,0.6,0.3,1,1.5,5.4
LAL,WayneEllington,SG,65,36,25.8,3.9,9.5,0.412,1.4,3.7,2.5,5.8,0.439,0.485,0.8,1,0.813,0.5,2.8,3.2,1.6,0.5,0,0.8,1.2,10
DAL,MontaEllis,SG,80,80,33.7,7.5,16.9,0.445,1,3.6,6.5,13.4,0.487,0.475,2.9,3.8,0.752,0.4,2,2.4,4.1,1.9,0.3,2.5,2.5,18.9
MIA,JamesEnnis,SF,62,3,17,1.6,4,0.409,0.5,1.5,1.1,2.5,0.461,0.472,1.3,1.5,0.84,0.8,2,2.8,0.8,0.4,0.3,0.6,1.4,5
TOT,TylerEnnis,PG,33,1,12.5,1.6,4.4,0.361,0.4,1.3,1.2,3.1,0.396,0.403,0.2,0.2,0.714,0.2,0.8,1.1,2.2,0.5,0.2,1.3,1.1,3.7
PHO,TylerEnnis,PG,8,0,7.3,1.1,2.6,0.429,0.3,0.8,0.9,1.9,0.467,0.476,0.3,0.3,1,0.1,0.8,0.9,1.8,0,0.3,1,0.4,2.8
MIL,TylerEnnis,PG,25,1,14.1,1.7,4.9,0.35,0.4,1.5,1.3,3.4,0.384,0.39,0.1,0.2,0.6,0.2,0.9,1.1,2.4,0.7,0.1,1.4,1.3,4
UTA,JeremyEvans,SF,38,0,7,0.8,1.5,0.552,0.1,0.1,0.8,1.4,0.566,0.569,0.6,0.8,0.828,0.7,1.2,1.9,0.3,0.3,0.3,0.1,0.8,2.4
SAC,ReggieEvans,PF,47,7,16.3,1.2,2.9,0.423,0,0,1.2,2.9,0.43,0.423,1.3,2.1,0.619,2.1,4.3,6.4,0.7,0.5,0.1,1,1.9,3.7
NOP,TyrekeEvans,SF,79,76,34.1,6.6,14.7,0.447,0.9,2.9,5.7,11.9,0.482,0.477,2.6,3.7,0.694,1,4.2,5.3,6.6,1.3,0.5,3.1,2.5,16.6
UTA,DanteExum,PG,82,41,22.2,1.8,5.1,0.349,1,3.2,0.8,1.9,0.408,0.448,0.2,0.4,0.625,0.3,1.3,1.6,2.4,0.5,0.2,1.4,1.8,4.8
GSW,FestusEzeli,C,46,7,11,1.7,3,0.547,0,0,1.7,3,0.547,0.547,1.1,1.7,0.628,1.3,2.1,3.4,0.2,0.2,0.9,0.7,1.7,4.4
