Date,<22,22-24,25-34,35-44,45-54,55-59,60-64,>=65,Total,<22%,22-24%,25-34%,35-44%,45-54%,55-59%,60-64%,>=65%,<22C,22-24C,25-34C,35-44C,45-54C,55-59C,60-64C,>=65C,INA,FEMALE,MALE,Total,FEMALE%,MALE%,"Arts, Entertainment & Recreation"
3/31/09,853,2331,10610,9974,11116,4416,2868,1763,43931,1.941681273,5.306048121,24.15151032,22.70378548,25.30331656,10.0521272,6.528419567,4.01311147,0,853,3184,13794,23768,34884,39300,42168,57,18591,25315,43906,42.3427322,57.6572678,759
4/30/09,749,2102,9704,8895,10080,4158,2730,1676,40094,1.868109942,5.242679703,24.20312266,22.18536439,25.14091884,10.37062902,6.808998853,4.180176585,0,749,2851,12555,21450,31530,35688,38418,42,19148,20944,40092,47.76015165,52.23984835,585
5/31/09,809,2350,10450,9914,11303,4834,3183,2536,45379,1.782762952,5.178606845,23.02827299,21.8471099,24.90799709,10.65250446,7.014257696,5.588488067,0,809,3159,13609,23523,34826,39660,42843,40,24656,20683,45339,54.38143761,45.61856239,528
6/30/09,966,2393,10648,10409,11784,5163,3262,2551,47176,2.047651348,5.072494489,22.57079871,22.06418518,24.97880278,10.94412413,6.914532813,5.407410548,0,966,3359,14007,24416,36200,41363,44625,49,25869,21311,47180,54.83043663,45.16956337,554
7/31/09,933,2381,10367,10131,11284,4715,2955,2009,44775,2.083752094,5.317699609,23.15354551,22.62646566,25.20156337,10.53042993,6.599664992,4.486878839,0,933,3314,13681,23812,35096,39811,42766,46,23344,21429,44773,52.13856565,47.86143435,525
8/31/09,920,2234,9434,8705,9441,4011,2373,1463,38581,2.384593453,5.790414971,24.45245069,22.56291957,24.47059433,10.39630906,6.150695938,3.79202198,0,920,3154,12588,21293,30734,34745,37118,61,19227,19330,38557,49.86643152,50.13356848,416
9/30/09,864,2078,8977,8330,8961,3789,2226,1375,36600,2.360655738,5.677595628,24.5273224,22.75956284,24.48360656,10.35245902,6.081967213,3.756830601,0,864,2942,11919,20249,29210,32999,35225,52,18157,18420,36577,49.64048446,50.35951554,436
10/31/09,1068,2355,10015,9166,9876,4019,2434,1621,40554,2.633525669,5.807072052,24.69546777,22.60196282,24.3527149,9.910243133,6.001874044,3.997139616,0,1068,3423,13438,22604,32480,36499,38933,46,18805,21743,40548,46.37713327,53.62286673,730
11/30/09,1241,2626,11591,10548,11325,4611,2660,1796,46398,2.674684254,5.659726712,24.98168024,22.73373852,24.40837967,9.937928359,5.733005733,3.870856502,0,1241,3867,15458,26006,37331,41942,44602,67,19293,27081,46374,41.60305344,58.39694656,1064
12/31/09,1063,2963,14279,13606,14678,6468,3984,3127,60168,1.766719851,4.924544608,23.73188406,22.61334929,24.39502726,10.74990028,6.621459912,5.197114745,0,1063,4026,18305,31911,46589,53057,57041,71,22845,37254,60099,38.01227974,61.98772026,1825
1/31/10,1075,2937,14149,13547,15003,6722,3978,3117,60528,1.776037536,4.852299762,23.37595823,22.38137721,24.7868755,11.10560402,6.572164948,5.149682791,0,1075,4012,18161,31708,46711,53433,57411,84,22028,38416,60444,36.44365032,63.55634968,1682
2/28/10,777,2230,10953,10911,11947,5166,3282,2225,47491,1.636099471,4.69562654,23.06331726,22.97487945,25.15634541,10.87785054,6.910783096,4.685098229,0,777,3007,13960,24871,36818,41984,45266,69,19171,28251,47422,40.42638438,59.57361562,1105
3/31/10,638,1765,8795,8380,9309,4131,2536,1543,37097,1.719815619,4.757797126,23.70811656,22.58942772,25.09367334,11.13567135,6.836132302,4.159365986,0,638,2403,11198,19578,28887,33018,35554,60,16618,20419,37037,44.86864487,55.13135513,601
4/30/10,693,1825,8184,8016,8859,3792,2395,1446,35210,1.968190855,5.183186595,23.24339676,22.76625959,25.16046578,10.76966771,6.802044874,4.106787844,0,693,2518,10702,18718,27577,31369,33764,33,17123,18055,35178,48.67530843,51.32469157,440
5/31/10,689,1866,8645,8596,9756,4206,2826,2211,38795,1.776002062,4.809898183,22.28379946,22.15749452,25.14757056,10.8416033,7.284443872,5.69918804,0,689,2555,11200,19796,29552,33758,36584,40,21225,17533,38758,54.76288766,45.23711234,399
6/30/10,696,1917,8988,8870,9812,4360,2833,2220,39696,1.753325272,4.829201935,22.64207981,22.34482064,24.7178557,10.98347441,7.136739218,5.592503023,0,696,2613,11601,20471,30283,34643,37476,49,22384,17265,39649,56.4553961,43.5446039,413
