Rank,Newsweek Green Score,GICS Sector,Energy Productivity,Carbon Productivity,Water Productivity,Waste Productivity,Green Revenue,!Rank,!Newsweek Green Score,!GICS Sector,!Energy Productivity,!Carbon Productivity,!Water Productivity,!Waste Productivity,!Green Revenue
331,0.21,Consumer Discretionary,0,0,0,0,0.11,,,,,,,,
422,0.11,Consumer Discretionary,0,0,0,0,0.11,,,,,,,,
423,0.11,Consumer Discretionary,0,0.01,0,0,0.1,,,,,,,,
428,0.1,Consumer Discretionary,0,0,0,0,0.1,,,,,,,,
428,0.1,Consumer Discretionary,0,0,0,0,0.1,,,,,,,,
428,0.1,Consumer Discretionary,0,0,0,0,0.1,,,,,,,,
428,0.1,Consumer Discretionary,0,0,0,0,0.1,,,,,,,,
428,0.1,Consumer Discretionary,0,0,0,0,0.1,,,,,,,,
428,0.1,Consumer Discretionary,0,0,0,0,0.1,,,,,,,,
53,0.62,Consumer Discretionary,0.02,0.03,0.11,0.12,0.13,,,,,,,,
176,0.41,Consumer Discretionary,0.02,0.04,0.01,0.02,0.12,,,,,,,,
246,0.34,Consumer Discretionary,0,0.02,0,0,0.12,,,,,,,,
254,0.32,Consumer Discretionary,0,0.05,0,0.11,0.12,,,,,,,,
338,0.19,Consumer Discretionary,0,0.07,0,0,0.12,,,,,,,,
414,0.12,Consumer Discretionary,0,0,0,0,0.12,,,,,,,,
414,0.12,Consumer Discretionary,0,0,0,0,0.12,,,,,,,,
8,0.75,Consumer Staples,0.12,0.14,0.12,0.11,0.07,,,,,,,,
34,0.66,Consumer Staples,0.09,0.11,0.09,0.1,0.07,,,,,,,,
69,0.58,Consumer Staples,0.06,0.09,0.13,0,0.1,,,,,,,,
76,0.58,Consumer Staples,0.13,0.08,0.09,0,0.07,,,,,,,,
137,0.49,Consumer Staples,0.02,0.04,0.08,0.08,0.07,,,,,,,,
157,0.44,Consumer Staples,0.03,0.05,0.03,0.06,0.08,,,,,,,,
173,0.41,Consumer Staples,0.08,0.12,0.01,0.05,0.1,,,,,,,,
468,0.07,Consumer Staples,0,0,0,0,0.07,,,,,,,,
16,0.74,Consumer Staples,0.13,0.14,0.12,0,0.14,,,,,,,,
149,0.45,Consumer Staples,0.09,0.02,0.05,0.02,0.13,,,,,,,,
205,0.39,Consumer Staples,0,0.07,0,0,0.12,,,,,,,,
232,0.36,Consumer Staples,0.08,0,0,0,0.13,,,,,,,,
270,0.3,Consumer Staples,0,0.06,0,0,0.14,,,,,,,,
301,0.25,Consumer Staples,0,0.08,0,0,0.12,,,,,,,,
305,0.25,Consumer Staples,0,0.07,0,0,0.13,,,,,,,,
6,0.79,Consumer Staples,0.14,0.1,0.12,0.12,0.1,,,,,,,,
10,0.75,Consumer Staples,0.09,0.13,0.12,0.11,0.1,,,,,,,,
14,0.74,Consumer Staples,0.13,0.15,0.11,0.1,0.1,,,,,,,,
27,0.67,Consumer Staples,0.12,0.11,0.13,0.06,0.1,,,,,,,,
48,0.63,Consumer Staples,0.08,0.09,0.08,0.08,0.1,,,,,,,,
68,0.58,Consumer Staples,0.05,0.06,0.09,0.09,0.1,,,,,,,,
82,0.56,Consumer Staples,0.08,0.09,0.09,0,0.1,,,,,,,,
146,0.47,Consumer Staples,0.04,0.06,0.01,0.06,0.1,,,,,,,,
206,0.39,Consumer Staples,0.02,0.04,0.02,0,0.1,,,,,,,,
213,0.38,Consumer Staples,0.05,0.07,0.05,0.06,0.1,,,,,,,,
225,0.36,Consumer Staples,0,0.07,0,0,0.1,,,,,,,,
243,0.34,Consumer Staples,0.03,0.01,0.03,0.03,0.1,,,,,,,,
253,0.33,Consumer Staples,0.02,0.01,0.07,0,0.09,,,,,,,,
265,0.31,Consumer Staples,0,0.06,0,0,0.1,,,,,,,,
381,0.16,Consumer Staples,0,0.03,0.03,0,0.1,,,,,,,,
38,0.65,Consumer Staples,0.07,0.08,0.06,0.13,0.12,,,,,,,,
49,0.63,Consumer Staples,0.08,0.09,0.07,0.09,0.11,,,,,,,,
110,0.53,Consumer Staples,0.04,0.07,0.04,0.11,0.12,,,,,,,,
239,0.35,Consumer Staples,0.02,0.03,0.03,0.01,0.11,,,,,,,,
291,0.27,Consumer Staples,0.05,0,0.07,0.03,0.12,,,,,,,,
37,0.65,Consumer Staples,0.14,0.09,0,0.11,0.11,,,,,,,,
85,0.56,Consumer Staples,0.11,0.09,0.13,0.08,0,,,,,,,,
144,0.47,Consumer Staples,0.08,0.12,0.05,0.12,0.01,,,,,,,,
288,0.28,Consumer Staples,0.04,0.02,0.05,0.01,0,,,,,,,,
476,0.05,Consumer Staples,0,0,0,0,0,,,,,,,,
119,0.52,Energy,0.04,0.07,0.12,0.12,0.02,,,,,,,,
200,0.39,Energy,0.07,0.1,0,0,0.02,,,,,,,,
325,0.21,Energy,0,0.04,0,0,0.02,,,,,,,,
413,0.12,Energy,0,0,0,0,0.02,,,,,,,,
492,0.02,Energy,0,0,0,0,0.02,,,,,,,,
492,0.02,Energy,0,0,0,0,0.02,,,,,,,,
63,0.59,Energy,0.1,0.1,0.12,0.04,0.03,,,,,,,,
72,0.58,Energy,0.05,0.08,0.1,0.14,0.02,,,,,,,,
102,0.54,Energy,0.12,0.03,0.02,0.1,0.06,,,,,,,,
130,0.5,Energy,0.06,0.09,0.09,0.06,0.01,,,,,,,,
150,0.45,Energy,0.04,0.06,0.1,0.05,0.01,,,,,,,,
187,0.4,Energy,0.1,0.03,0.05,0,0.02,,,,,,,,
242,0.35,Energy,0.02,0.03,0.01,0.07,0.02,,,,,,,,
260,0.31,Energy,0.05,0.07,0,0.08,0.01,,,,,,,,
266,0.31,Energy,0.09,0.04,0.01,0,0.01,,,,,,,,
272,0.29,Energy,0,0.02,0.06,0,0.01,,,,,,,,
284,0.28,Energy,0.1,0.01,0.01,0.06,0.05,,,,,,,,
285,0.28,Energy,0,0.12,0,0,0.06,,,,,,,,
307,0.25,Energy,0.03,0.06,0,0,0.01,,,,,,,,
314,0.23,Energy,0.05,0.06,0.06,0,0.01,,,,,,,,
336,0.19,Energy,0,0.09,0,0,0.05,,,,,,,,
337,0.19,Energy,0,0.14,0.04,0,0.01,,,,,,,,
354,0.17,Energy,0,0.06,0,0,0.01,,,,,,,,
364,0.16,Energy,0,0,0,0,0.01,,,,,,,,
410,0.12,Energy,0,0.02,0.03,0,0.02,,,,,,,,
411,0.12,Energy,0,0,0,0,0.02,,,,,,,,
428,0.1,Energy,0,0,0,0,0.05,,,,,,,,
428,0.1,Energy,0,0,0,0,0.05,,,,,,,,
461,0.1,Energy,0,0,0,0,0.05,,,,,,,,
464,0.09,Energy,0,0,0,0,0.04,,,,,,,,
470,0.07,Energy,0,0,0,0,0.02,,,,,,,,
471,0.06,Energy,0,0,0,0,0.01,,,,,,,,
472,0.06,Energy,0,0,0,0,0.01,,,,,,,,
472,0.06,Energy,0,0,0,0,0.01,,,,,,,,
