Rank,Newsweek Green Score,GICS Sector,Energy Productivity,Carbon Productivity,Water Productivity,Waste Productivity,Green Revenue,!Rank,!Newsweek Green Score,!GICS Sector,!Energy Productivity,!Carbon Productivity,!Water Productivity,!Waste Productivity,!Green Revenue
400,0.13,Industrials,0,0,0,0,0.13,,,,,,,,
491,0.04,Industrials,0,0,0,0,0.04,,,,,,,,
18,0.73,Industrials,0.09,0.09,0.13,0.12,0.15,,,,,,,,
94,0.55,Industrials,0.06,0.06,0.04,0.12,0.12,,,,,,,,
101,0.54,Industrials,0.09,0.04,0.05,0.04,0.12,,,,,,,,
105,0.54,Industrials,0.03,0.07,0.08,0.09,0.07,,,,,,,,
136,0.5,Industrials,0.06,0.06,0.08,0.05,0.1,,,,,,,,
185,0.4,Industrials,0.04,0.05,0.07,0.11,0.09,,,,,,,,
233,0.35,Industrials,0,0.09,0,0,0.07,,,,,,,,
264,0.31,Industrials,0.08,0.06,0,0,0.12,,,,,,,,
267,0.3,Industrials,0,0.08,0,0,0.07,,,,,,,,
281,0.28,Industrials,0.08,0.06,0,0,0.1,,,,,,,,
364,0.16,Industrials,0,0,0,0,0.16,,,,,,,,
428,0.1,Industrials,0,0,0,0,0.1,,,,,,,,
428,0.1,Industrials,0,0,0,0,0.1,,,,,,,,
54,0.61,Industrials,0.11,0.1,0.1,0.08,0.12,,,,,,,,
65,0.59,Industrials,0.05,0.05,0,0.11,0.18,,,,,,,,
96,0.55,Industrials,0.06,0.07,0.04,0,0.18,,,,,,,,
121,0.52,Industrials,0.01,0.03,0.07,0.03,0.18,,,,,,,,
252,0.33,Industrials,0,0.1,0,0,0.08,,,,,,,,
349,0.18,Industrials,0,0,0,0,0.18,,,,,,,,
192,0.4,Industrials,0.02,0.03,0.1,0.04,0.16,,,,,,,,
219,0.37,Industrials,0.08,0.09,0,0,0.1,,,,,,,,
428,0.1,Industrials,0,0,0,0,0.1,,,,,,,,
26,0.68,Information Technology,0.12,0.12,0.15,0.06,0.13,,,,,,,,
36,0.65,Information Technology,0.03,0.05,0.09,0.14,0.15,,,,,,,,
43,0.63,Information Technology,0.06,0.08,0.06,0.1,0.14,,,,,,,,
162,0.44,Information Technology,0.1,0.12,0,0.08,0.14,,,,,,,,
211,0.38,Information Technology,0.01,0.02,0,0.01,0.14,,,,,,,,
309,0.24,Information Technology,0,0,0,0,0.19,,,,,,,,
237,0.35,Information Technology,0,0.02,0,0,0.13,,,,,,,,
402,0.13,Information Technology,0,0,0,0,0.13,,,,,,,,
57,0.61,Information Technology,0.01,0.07,0,0.15,0.18,,,,,,,,
126,0.51,Information Technology,0.07,0.11,0,0,0.18,,,,,,,,
197,0.4,Information Technology,0.1,0.11,0,0,0.14,,,,,,,,
228,0.36,Information Technology,0,0.03,0,0,0.18,,,,,,,,
293,0.27,Information Technology,0.05,0.04,0,0,0.18,,,,,,,,
349,0.18,Information Technology,0,0,0,0,0.18,,,,,,,,
349,0.18,Information Technology,0,0,0,0,0.18,,,,,,,,
383,0.15,Information Technology,0,0,0,0,0.15,,,,,,,,
428,0.1,Information Technology,0,0,0,0,0.1,,,,,,,,
55,0.61,Information Technology,0.09,0.04,0.04,0.1,0.15,,,,,,,,
75,0.58,Information Technology,0.04,0.07,0.07,0.03,0.16,,,,,,,,
129,0.5,Information Technology,0.12,0,0.13,0,0.1,,,,,,,,
132,0.5,Information Technology,0.02,0.02,0.04,0.06,0.17,,,,,,,,
160,0.44,Information Technology,0.05,0.02,0,0,0.17,,,,,,,,
188,0.4,Information Technology,0.12,0.13,0,0,0.1,,,,,,,,
234,0.35,Information Technology,0.03,0.13,0,0,0.1,,,,,,,,
282,0.28,Information Technology,0,0.07,0,0,0.16,,,,,,,,
311,0.24,Information Technology,0,0.08,0,0,0.16,,,,,,,,
364,0.16,Information Technology,0,0,0,0,0.16,,,,,,,,
364,0.16,Information Technology,0,0,0,0,0.16,,,,,,,,
364,0.16,Information Technology,0,0,0,0,0.16,,,,,,,,
364,0.16,Information Technology,0,0,0,0,0.16,,,,,,,,
4,0.81,Information Technology,0.14,0.13,0.14,0.09,0.13,,,,,,,,
20,0.71,Information Technology,0.12,0.11,0.11,0.09,0.13,,,,,,,,
44,0.63,Information Technology,0.11,0.1,0.1,0.1,0.13,,,,,,,,
71,0.58,Information Technology,0.08,0.07,0.06,0.03,0.13,,,,,,,,
87,0.55,Information Technology,0.08,0.08,0.09,0.02,0.13,,,,,,,,
124,0.51,Information Technology,0.08,0.08,0.07,0.04,0.13,,,,,,,,
172,0.42,Information Technology,0.06,0.06,0.06,0.06,0.13,,,,,,,,
207,0.38,Information Technology,0,0.1,0,0,0.13,,,,,,,,
236,0.35,Information Technology,0.04,0.02,0.06,0.08,0.1,,,,,,,,
249,0.33,Information Technology,0.06,0.04,0,0,0.13,,,,,,,,
295,0.26,Information Technology,0,0.13,0,0,0.13,,,,,,,,
303,0.25,Information Technology,0,0.07,0,0,0.13,,,,,,,,
320,0.22,Information Technology,0,0,0,0.09,0.13,,,,,,,,
334,0.2,Information Technology,0,0.02,0,0,0.13,,,,,,,,
353,0.17,Information Technology,0,0.04,0,0,0.13,,,,,,,,
3,0.83,Information Technology,0.13,0.09,0.12,0.09,0.19,,,,,,,,
30,0.66,Information Technology,0.1,0.14,0,0.03,0.19,,,,,,,,
46,0.63,Information Technology,0.05,0.03,0.08,0.13,0.19,,,,,,,,
59,0.6,Information Technology,0.05,0.03,0.06,0.08,0.18,,,,,,,,
178,0.41,Information Technology,0.01,0.02,0.03,0.01,0.19,,,,,,,,
193,0.4,Information Technology,0,0.07,0,0,0.18,,,,,,,,
201,0.39,Information Technology,0.07,0.04,0,0,0.19,,,,,,,,
269,0.3,Information Technology,0,0.11,0,0,0.19,,,,,,,,
277,0.29,Information Technology,0,0,0,0,0.19,,,,,,,,
340,0.19,Information Technology,0,0,0,0,0.19,,,,,,,,
340,0.19,Information Technology,0,0,0,0,0.19,,,,,,,,
340,0.19,Information Technology,0,0,0,0,0.19,,,,,,,,
355,0.17,Information Technology,0,0,0,0,0.17,,,,,,,,
383,0.15,Information Technology,0,0,0,0,0.1,,,,,,,,
428,0.1,Information Technology,0,0,0,0,0.1,,,,,,,,
12,0.75,Information Technology,0.11,0.13,0.11,0.14,0.11,,,,,,,,
41,0.64,Information Technology,0.07,0.08,0.08,0.09,0.13,,,,,,,,
84,0.56,Information Technology,0.06,0.07,0.1,0,0.13,,,,,,,,
93,0.55,Information Technology,0.05,0.06,0.1,0.09,0.11,,,,,,,,
245,0.34,Information Technology,0.01,0,0.03,0.13,0.11,,,,,,,,
250,0.33,Information Technology,0,0.05,0,0,0.13,,,,,,,,
286,0.28,Information Technology,0.02,0.02,0.01,0.02,0.11,,,,,,,,
5,0.81,Materials,0.12,0.12,0.13,0.14,0.1,,,,,,,,
7,0.78,Materials,0.13,0.14,0.14,0.06,0.1,,,,,,,,
52,0.62,Materials,0.09,0.06,0.09,0.11,0.07,,,,,,,,
83,0.56,Materials,0.08,0.06,0.14,0,0.09,,,,,,,,
127,0.51,Materials,0.01,0.02,0.07,0.13,0.08,,,,,,,,
128,0.5,Materials,0.04,0.02,0.07,0.11,0.06,,,,,,,,
134,0.5,Materials,0.11,0.12,0,0,0.12,,,,,,,,
135,0.5,Materials,0.06,0.05,0.06,0.03,0.1,,,,,,,,
171,0.42,Materials,0.04,0.06,0.09,0.02,0.06,,,,,,,,
181,0.41,Materials,0.02,0.05,0.02,0.01,0.1,,,,,,,,
230,0.36,Materials,0,0.11,0,0,0.1,,,,,,,,
268,0.3,Materials,0.04,0.03,0,0,0.09,,,,,,,,
383,0.15,Materials,0,0,0,0,0.1,,,,,,,,
425,0.1,Materials,0,0,0,0,0.1,,,,,,,,
70,0.58,Materials,0.07,0.05,0.08,0.09,0.09,,,,,,,,
77,0.57,Materials,0.13,0.14,0.01,0.07,0.08,,,,,,,,
40,0.64,Materials,0.02,0.04,0.13,0.13,0.13,,,,,,,,
120,0.52,Materials,0.08,0.08,0.04,0.05,0.07,,,,,,,,
251,0.33,Materials,0.04,0.05,0.01,0.01,0.02,,,,,,,,
402,0.13,Materials,0,0,0,0,0.08,,,,,,,,
466,0.08,Materials,0,0,0,0,0.08,,,,,,,,
235,0.35,Materials,0,0.04,0.03,0,0.08,,,,,,,,
103,0.54,Telecommunication Services,0.06,0.03,0.04,0.04,0.16,,,,,,,,
116,0.52,Telecommunication Services,0.1,0.06,0,0,0.16,,,,,,,,
182,0.41,Telecommunication Services,0.02,0,0.02,0,0.16,,,,,,,,
190,0.4,Telecommunication Services,0.02,0.02,0,0,0.16,,,,,,,,
28,0.67,Telecommunication Services,0.09,0.11,0.07,0.05,0.16,,,,,,,,
364,0.16,Telecommunication Services,0,0,0,0,0.16,,,,,,,,
364,0.16,Telecommunication Services,0,0,0,0,0.16,,,,,,,,
22,0.7,Utilities,0.1,0.13,0.08,0.07,0.11,,,,,,,,
61,0.6,Utilities,0.06,0.07,0.02,0.13,0.12,,,,,,,,
111,0.53,Utilities,0.05,0.02,0.09,0.11,0.06,,,,,,,,
194,0.4,Utilities,0.02,0.04,0,0.02,0.11,,,,,,,,
216,0.38,Utilities,0.01,0.05,0.03,0,0.14,,,,,,,,
223,0.36,Utilities,0,0.04,0,0,0.12,,,,,,,,
263,0.31,Utilities,0,0.01,0.03,0,0.12,,,,,,,,
280,0.28,Utilities,0,0.02,0.04,0,0.12,,,,,,,,
313,0.23,Utilities,0,0,0,0.11,0.12,,,,,,,,
362,0.17,Utilities,0,0,0,0,0.12,,,,,,,,
414,0.12,Utilities,0,0,0,0,0.12,,,,,,,,
99,0.54,Utilities,0.06,0.09,0.03,0.05,0.12,,,,,,,,
202,0.39,Utilities,0,0.06,0.01,0,0.12,,,,,,,,
32,0.66,Utilities,0.04,0.11,0.09,0.12,0.11,,,,,,,,
42,0.64,Utilities,0.08,0.11,0.03,0.1,0.12,,,,,,,,
80,0.57,Utilities,0.08,0.03,0.12,0.03,0.11,,,,,,,,
133,0.5,Utilities,0,0.09,0.09,0,0.11,,,,,,,,
184,0.4,Utilities,0.03,0.01,0.07,0.07,0.08,,,,,,,,
212,0.38,Utilities,0.11,0.04,0.01,0,0.12,,,,,,,,
222,0.37,Utilities,0.09,0.01,0,0,0.12,,,,,,,,
224,0.36,Utilities,0,0.01,0.02,0.11,0.12,,,,,,,,
292,0.27,Utilities,0,0,0,0,0.12,,,,,,,,
318,0.23,Utilities,0,0.03,0,0,0.1,,,,,,,,
380,0.16,Utilities,0,0.08,0,0,0.08,,,,,,,,
24,0.68,Utilities,0.08,0.06,0.15,0.11,0.18,,,,,,,,
